@relation	DistalPhalanxTW_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	class	{3,4,5,6,7,8}
@data
-0.8136700000,-0.7442300000,-0.5691600000,-0.5253600000,-0.3490800000,-0.0057606000,0.2346100000,0.2352200000,0.6173400000,0.9189900000,1.2434000000,1.3718000000,1.5292000000,1.5711000000,1.4679000000,1.2864000000,1.1263000000,0.8567300000,0.6077100000,0.3856800000,0.1987900000,-0.1045600000,-0.4682200000,-0.7873000000,-0.9705900000,-0.8493700000,-0.7102400000,-0.4163900000,-0.0750210000,0.2803600000,0.6440800000,1.0132000000,1.3679000000,1.6570000000,1.6688000000,1.6363000000,1.5853000000,1.5636000000,1.6559000000,1.3621000000,1.1672000000,1.1378000000,1.2845000000,1.3659000000,0.9818500000,0.5683600000,0.2149900000,-0.1989800000,-0.4801000000,-0.7601900000,-0.3040600000,-0.3933000000,-0.5045300000,-0.7958200000,-0.9172300000,-1.1561000000,-1.2961000000,-1.4987000000,-1.5540000000,-1.3632000000,-1.1209000000,-0.8455300000,-0.6259300000,-0.4198600000,-0.4118200000,-0.3581500000,-0.2599600000,-0.1420900000,-0.3808100000,-0.6166700000,-0.9776500000,-1.2569000000,-1.3642000000,-1.5212000000,-1.5041000000,-1.3064000000,-1.2062000000,-0.9129000000,-0.5857300000,-0.3780100000,4
-0.9176000000,-0.7655600000,-0.5322700000,-0.2245000000,0.0557930000,0.3022500000,0.6244300000,0.8081600000,1.0256000000,1.2134000000,1.3175000000,1.4100000000,1.4731000000,1.4014000000,1.2898000000,1.1662000000,1.0236000000,0.8013000000,0.6437300000,0.4206200000,0.1760400000,-0.0909990000,-0.4181200000,-0.7157100000,-0.9349000000,-0.8219800000,-0.6535400000,-0.3967300000,-0.0909570000,0.2389800000,0.5758100000,0.9194200000,1.2675000000,1.4293000000,1.4287000000,1.3532000000,1.3754000000,1.4371000000,1.4926000000,1.3755000000,1.5049000000,1.4594000000,1.4528000000,1.2162000000,0.8359000000,0.4754600000,0.0899670000,-0.2419300000,-0.5791400000,-0.7968800000,-0.2118900000,-0.3964300000,-0.4395500000,-0.5984900000,-0.8410300000,-1.0994000000,-1.3823000000,-1.5120000000,-1.6664000000,-1.5186000000,-1.2776000000,-1.0489000000,-0.8198900000,-0.5438200000,-0.2881100000,-0.0647090000,-0.1859800000,-0.4066100000,-0.6241400000,-0.8368100000,-1.0409000000,-1.2693000000,-1.4183000000,-1.5459000000,-1.4842000000,-1.3544000000,-1.1275000000,-0.8811700000,-0.6526500000,-0.3634900000,6
-0.4610000000,-0.3987100000,-0.2368600000,-0.0378660000,0.2402800000,0.4957200000,0.7824000000,1.0173000000,1.3068000000,1.3783000000,1.4287000000,1.4440000000,1.3882000000,1.2494000000,1.0863000000,0.9466200000,0.7069600000,0.4723100000,0.2433800000,-0.0394950000,-0.2486200000,-0.4048800000,-0.4228900000,-0.4160300000,-0.3295300000,-0.1218400000,0.0462050000,0.2691000000,0.5221100000,0.7556000000,1.0004000000,1.2405000000,1.3978000000,1.4167000000,1.4041000000,1.3904000000,1.4005000000,1.4133000000,1.3956000000,1.3422000000,1.3898000000,1.4407000000,1.2445000000,1.0448000000,0.7996500000,0.5505400000,0.3148700000,0.0588540000,-0.1566600000,-0.3687200000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,-1.0794000000,8
-0.5237200000,-0.4363200000,-0.2526200000,-0.0418090000,0.1633200000,0.3654300000,0.6193900000,0.7808700000,1.0468000000,1.2143000000,1.4241000000,1.4639000000,1.4596000000,1.3543000000,1.2013000000,0.9938600000,0.8288100000,0.6082100000,0.4282700000,0.1480100000,-0.1172800000,-0.3903000000,-0.4743000000,-0.4762200000,-0.3334600000,-0.1084100000,0.1034800000,0.3269200000,0.5750100000,0.8046000000,1.0511000000,1.2830000000,1.4260000000,1.4799000000,1.4565000000,1.3923000000,1.3912000000,1.4595000000,1.3911000000,1.3893000000,1.4415000000,1.3475000000,1.2203000000,0.9934200000,0.7532800000,0.4849900000,0.2451700000,-0.0331920000,-0.2396500000,-0.4690200000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,8
-0.4126100000,-0.3703900000,-0.1697400000,0.0413460000,0.2898500000,0.5462200000,0.8084100000,1.0768000000,1.2664000000,1.3588000000,1.4003000000,1.3689000000,1.3210000000,1.2148000000,1.0998000000,0.8995300000,0.7421400000,0.5375200000,0.3156200000,0.0330480000,-0.1568800000,-0.3882100000,-0.4187400000,-0.4641500000,-0.2866900000,-0.0972830000,0.1409100000,0.3834300000,0.6284700000,0.8761900000,1.1021000000,1.3113000000,1.3355000000,1.3443000000,1.2627000000,1.2253000000,1.2816000000,1.3645000000,1.3272000000,1.3277000000,1.3353000000,1.3790000000,1.2978000000,1.0863000000,0.8511200000,0.6250500000,0.3675100000,0.1116400000,-0.1209200000,-0.3443600000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,-1.1018000000,8
-1.0326000000,-0.8869700000,-0.6925000000,-0.4004100000,-0.0722890000,0.2611900000,0.5879700000,0.8410000000,1.1871000000,1.3012000000,1.4234000000,1.4546000000,1.4214000000,1.2750000000,1.1600000000,0.9901100000,0.8497600000,0.6183800000,0.4147900000,0.2399100000,-0.1147600000,-0.4537600000,-0.6790000000,-0.9329000000,-0.9651600000,-0.8534700000,-0.6045700000,-0.3119100000,0.0188390000,0.3320100000,0.6865700000,1.0462000000,1.3645000000,1.5657000000,1.5885000000,1.5818000000,1.4613000000,1.4776000000,1.4971000000,1.6454000000,1.7307000000,1.6187000000,1.3602000000,0.9606300000,0.5897800000,0.2241800000,-0.1629500000,-0.4334000000,-0.6842000000,-0.8998100000,-0.2898000000,-0.4574700000,-0.7113200000,-0.9527400000,-1.1227000000,-1.2278000000,-1.3370000000,-1.4102000000,-1.3488000000,-1.1211000000,-1.0438000000,-0.7572900000,-0.5023600000,-0.4895800000,-0.3874700000,-0.1439300000,0.0565680000,0.0107980000,-0.2916500000,-0.6048800000,-0.8413100000,-1.1881000000,-1.3986000000,-1.5031000000,-1.5049000000,-1.3312000000,-1.0682000000,-0.7772400000,-0.4977700000,-0.3518600000,5
-0.5414900000,-0.5178000000,-0.3483300000,-0.1244200000,0.1076600000,0.3426500000,0.5784200000,0.8456700000,1.0977000000,1.2860000000,1.4455000000,1.4498000000,1.4320000000,1.3235000000,1.1773000000,1.0133000000,0.7575100000,0.5430300000,0.2454900000,-0.0756450000,-0.3017300000,-0.4641400000,-0.5498300000,-0.4731400000,-0.2973800000,-0.0892230000,0.1327800000,0.3598500000,0.5923000000,0.8281700000,1.0822000000,1.3127000000,1.4530000000,1.4731000000,1.4234000000,1.3403000000,1.3877000000,1.3771000000,1.3967000000,1.3798000000,1.4031000000,1.4528000000,1.2989000000,1.1118000000,0.8107000000,0.5599300000,0.3516800000,0.0652140000,-0.1955800000,-0.3995500000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,-1.0620000000,8
-0.7021300000,-0.6374600000,-0.2828800000,0.0239150000,-0.0739520000,-0.0387880000,0.2821900000,0.5358700000,0.9738900000,1.0918000000,1.2220000000,1.2492000000,1.2038000000,1.1302000000,1.0156000000,0.8661900000,0.4531700000,0.4863600000,0.5445600000,0.3689100000,0.1986700000,0.0245710000,-0.2832100000,-0.4992700000,-0.6207400000,-0.5734500000,-0.2754200000,0.0841600000,0.5579200000,0.8457000000,1.2855000000,1.5826000000,1.8550000000,1.6512000000,1.4056000000,1.2073000000,1.0465000000,1.0893000000,1.0099000000,1.1203000000,1.4220000000,1.7817000000,1.8631000000,1.4430000000,1.0890000000,0.6807000000,0.3382500000,-0.0432970000,-0.3549300000,-0.6609900000,-0.4056700000,-0.5558300000,-0.7755700000,-0.9007400000,-1.1190000000,-1.3717000000,-1.5335000000,-1.5776000000,-1.4639000000,-1.3094000000,-1.0792000000,-0.9387700000,-0.7042600000,-0.6228700000,-0.5218900000,-0.5052500000,-0.7177900000,-0.9454100000,-1.0477000000,-1.1749000000,-1.1930000000,-1.3255000000,-1.3127000000,-1.4256000000,-1.3720000000,-1.1608000000,-0.9572100000,-0.8128700000,-0.6582800000,-0.4943500000,3
-0.8979500000,-0.8344900000,-0.5798200000,-0.3015600000,0.0647910000,0.4104300000,0.7906400000,1.0158000000,1.2632000000,1.4466000000,1.4190000000,1.3029000000,1.2430000000,1.2308000000,1.1030000000,1.0052000000,0.7635200000,0.5474000000,0.4063800000,0.1706600000,-0.1487100000,-0.4540900000,-0.7040500000,-0.8089400000,-0.7039900000,-0.4998300000,-0.1780500000,0.1304000000,0.4515300000,0.7780900000,1.1037000000,1.3690000000,1.3889000000,1.3258000000,1.4147000000,1.2476000000,1.1814000000,1.3685000000,1.3861000000,1.3065000000,1.3663000000,1.4573000000,1.4101000000,1.1353000000,0.8088700000,0.4528400000,0.1168100000,-0.2596700000,-0.5627000000,-0.8103100000,-0.3015600000,-0.1748500000,-0.3517500000,-0.5168300000,-0.7053000000,-0.9925100000,-1.2190000000,-1.5520000000,-1.7055000000,-1.6809000000,-1.3821000000,-1.1200000000,-0.8546200000,-0.5629000000,-0.3413600000,-0.1219100000,-0.2821500000,-0.4877500000,-0.7486900000,-0.9286000000,-1.0838000000,-1.2539000000,-1.3919000000,-1.4325000000,-1.4213000000,-1.4527000000,-1.2463000000,-1.0351000000,-0.8009700000,-0.4899700000,3
-0.9572300000,-0.8970600000,-0.6890300000,-0.4245400000,-0.1205300000,0.2044500000,0.5875700000,0.9587100000,1.2734000000,1.4016000000,1.5396000000,1.5480000000,1.4181000000,1.3173000000,1.0191000000,0.7852900000,0.5029200000,0.1679100000,-0.2422900000,-0.6200700000,-0.9618900000,-1.0708000000,-1.0529000000,-0.8956500000,-0.6662400000,-0.3573600000,-0.0712780000,0.2279300000,0.5281800000,0.8700900000,1.1946000000,1.3843000000,1.3948000000,1.6177000000,1.6144000000,1.4785000000,1.4278000000,1.5810000000,1.5610000000,1.3294000000,1.1475000000,1.1270000000,1.3581000000,1.0378000000,0.7086000000,0.4025400000,0.0546670000,-0.2950400000,-0.6035500000,-0.9006600000,-0.0406940000,0.0391390000,-0.1180200000,-0.3815100000,-0.6436500000,-0.8999900000,-1.0873000000,-1.3596000000,-1.4426000000,-1.4608000000,-1.3807000000,-1.1303000000,-0.8966400000,-0.6165700000,-0.3303800000,-0.1791900000,-0.1587400000,-0.3316400000,-0.5427500000,-0.8560700000,-1.0507000000,-1.3361000000,-1.4471000000,-1.4446000000,-1.3431000000,-1.2221000000,-0.9330300000,-0.7201400000,-0.4569600000,-0.1719700000,5
