@relation	MedicalImages_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	97	real
@attribute	98	real
@attribute	99	real
@attribute	class	{1,2,3,4,5,6,7,8,9,10}
@data
-0.6800442600,-0.1525396700,0.4634967500,1.1257006000,1.7844727000,2.3878155000,2.8865900000,3.2395941000,3.4178748000,3.4077642000,3.2123078000,2.8508802000,2.3570613000,1.7750262000,1.1548700000,0.5474190600,-0.0008741190,-0.4523863500,-0.7816064400,-0.9769508100,-1.0409911000,-0.9890790600,-0.8466497500,-0.6455809800,-0.4200904700,-0.2026879000,-0.0206529740,0.1066116900,0.1689947800,0.1658899000,0.1052218000,0.0015129301,-0.1266874300,-0.2596323200,-0.3791073300,-0.4705985600,-0.5248881600,-0.5387190300,-0.5146185300,-0.4599651500,-0.3854937400,-0.3034934100,-0.2259867200,-0.1630773500,-0.1217762500,-0.1053577400,-0.1132909300,-0.1417115700,-0.1843116400,-0.2334803600,-0.2815213700,-0.3217263000,-0.3491996000,-0.3613669400,-0.3580634700,-0.3412723700,-0.3145798500,-0.2824569900,-0.2494963900,-0.2197198500,-0.1960330400,-0.1799554800,-0.1715743200,-0.1697386500,-0.1724335500,-0.1772575400,-0.1819177400,-0.1846781100,-0.1846195000,-0.1818198900,-0.1773083100,-0.1728735500,-0.1707567100,-0.1732830700,-0.1824933400,-0.1998360300,-0.2259357000,-0.2605080000,-0.3023955200,-0.3497137600,-0.4000836000,-0.4509101200,-0.4996666800,-0.5441481900,-0.5826586000,-0.6141226300,-0.6381177400,-0.6548257900,-0.6649270100,-0.6694567700,-0.6696486900,-0.6672271800,-0.6638671300,-0.6590056800,-0.6535380200,-0.6482236500,-0.6436433100,-0.6401754300,-0.6379928600,10
2.2320273000,2.8633430000,3.2296890000,3.2840830000,3.0252441000,2.4881960000,1.7426255000,0.8901240900,0.0626617480,-0.5893898000,-0.9250619100,-0.8543618300,-0.3784206500,0.3916852900,1.2529979000,1.9657575000,2.3288610000,2.2477206000,1.7665322000,1.0502428000,0.3220200600,-0.2180758600,-0.4605642100,-0.4139109400,-0.1847860800,0.0775224230,0.2459256700,0.2626294900,0.1502191500,-0.0122236640,-0.1337625400,-0.1545076600,-0.0699426280,0.0725155360,0.1994348800,0.2472402100,0.1907971500,0.0544368700,-0.0985027080,-0.1918557000,-0.1684242400,-0.0144670610,0.2307779600,0.4924015500,0.6800181100,0.7218348400,0.5904509200,0.3181295600,-0.0210751150,-0.3390826200,-0.5637983300,-0.6619976600,-0.6470771600,-0.5680673400,-0.4851974700,-0.4436560000,-0.4578010300,-0.5116722600,-0.5725869000,-0.6091858600,-0.6051648500,-0.5695842700,-0.5262318900,-0.4994207700,-0.5007305500,-0.5265739000,-0.5617912300,-0.5895894500,-0.5987991000,-0.5904558000,-0.5744550100,-0.5634347200,-0.5645760100,-0.5785764600,-0.6000214700,-0.6215188200,-0.6364146700,-0.6431019100,-0.6443172600,-0.6448262600,-0.6474302200,-0.6528914600,-0.6603066700,-0.6682377900,-0.6749298000,-0.6797037400,-0.6834211300,-0.6876032800,-0.6924972800,-0.6972794400,-0.7022751700,-0.7079831800,-0.7147864800,-0.7224658700,-0.7305551200,-0.7379591000,-0.7431562100,-0.7444241700,-0.7411997200,4
2.7465823000,2.7270731000,2.6882129000,2.6305735000,2.5549279000,2.4622403000,2.3536540000,2.2304764000,2.0941621000,1.9462949000,1.7885667000,1.6227565000,1.4507074000,1.2743033000,1.0954450000,0.9160263700,0.7379106200,0.5629072600,0.3927498200,0.2290748000,0.0734021790,-0.0728825200,-0.2085440300,-0.3325110600,-0.4438876000,-0.5419654200,-0.6262311700,-0.6963467800,-0.7521791700,-0.7937881500,-0.8214219000,-0.8355100000,-0.8366538500,-0.8256150100,-0.8033012800,-0.7707510000,-0.7291157100,-0.6796414000,-0.6236487600,-0.5625125300,-0.4976405000,-0.4304522100,-0.3623579500,-0.2947380300,-0.2289229500,-0.1661744800,-0.1076681100,-0.0544770340,-0.0075578095,0.0322619370,0.0642872170,0.0879757990,0.1029456500,0.1089647300,0.1059580500,0.0940061940,0.0733414530,0.0443417370,0.0075223380,-0.0364742880,-0.0868905530,-0.1428673700,-0.2034591600,-0.2676500300,-0.3343707600,-0.4025164900,-0.4709646900,-0.5385931600,-0.6042979000,-0.6670104300,-0.7257143700,-0.7794610700,-0.8273839900,-0.8687117000,-0.9027792000,-0.9290477500,-0.9470866400,-0.9565970100,-0.9574164400,-0.9495174300,-0.9330069400,-0.9081239200,-0.8752348400,-0.8348272800,-0.7875018700,-0.7339624300,-0.6750047400,-0.6115040600,-0.5444014900,-0.4746894900,-0.4033968500,-0.3315731800,-0.2602733000,-0.1905416300,-0.1233970500,-0.0598181450,-0.0007292919,0.0530123120,0.1006284900,10
-0.3283135800,-0.3801425300,-0.3983763700,-0.3529826800,-0.2429368800,-0.1055830500,-0.0052885562,-0.0036736448,-0.1240855900,-0.3293261100,-0.5282990100,-0.6140363500,-0.5192024200,-0.2614454100,0.0477472810,0.2435462100,0.1848262000,-0.1640962300,-0.6883492400,-1.1423877000,-1.2367224000,-0.7602468000,0.3132731900,1.7843890000,3.2773753000,4.3658224000,4.7266347000,4.2597594000,3.1244232000,1.6765652000,0.3347248200,-0.5700133300,-0.8993705600,-0.7305099500,-0.2940955500,0.1383585200,0.3662892900,0.3252769900,0.0851453240,-0.2079342200,-0.4116171300,-0.4510125800,-0.3405729300,-0.1611855400,-0.0107573410,0.0445406250,-0.0046030544,-0.1166518200,-0.2282807500,-0.2882692300,-0.2797197200,-0.2215518200,-0.1524487500,-0.1083244300,-0.1055942200,-0.1374012200,-0.1818791400,-0.2161506200,-0.2277814500,-0.2187097800,-0.2009887300,-0.1884542500,-0.1891403800,-0.2025866100,-0.2219933600,-0.2391084300,-0.2486176000,-0.2499940500,-0.2465081300,-0.2430648000,-0.2440450100,-0.2456616700,-0.2486094800,-0.2532072600,-0.2594509600,-0.2660169900,-0.2717933500,-0.2758759100,-0.2777916800,-0.2773670900,-0.2750386900,-0.2719091600,-0.2693821000,-0.2687419800,-0.2706274700,-0.2752010200,-0.2818996800,-0.2896858100,-0.2970569700,-0.3030109500,-0.3072449100,-0.3104209500,-0.3133916500,-0.3169208400,-0.3214378300,-0.3266906600,-0.3316658500,-0.3345041500,-0.3336615600,10
-0.2962954200,0.1605840200,0.6889562900,1.2544840000,1.8170880000,2.3348058000,2.7679764000,3.0832757000,3.2571361000,3.2781500000,3.1481864000,2.8820754000,2.5059146000,2.0541998000,1.5661215000,1.0814647000,0.6365872600,0.2609269900,-0.0255582930,-0.2137810300,-0.3056484300,-0.3129302400,-0.2550900900,-0.1563878300,-0.0426391220,0.0619578030,0.1375516000,0.1706308600,0.1550610300,0.0921347200,-0.0103124760,-0.1395359200,-0.2800007700,-0.4156769900,-0.5322010700,-0.6186344900,-0.6686228500,-0.6808517000,-0.6587970800,-0.6098623800,-0.5440677300,-0.4725051900,-0.4057937400,-0.3527144000,-0.3192384700,-0.3080173300,-0.3183655500,-0.3466999800,-0.3873314500,-0.4334674400,-0.4782688300,-0.5158035900,-0.5417789900,-0.5539745400,-0.5523354300,-0.5387521000,-0.5165868300,-0.4900400500,-0.4634725000,-0.4407737300,-0.4247876000,-0.4170844900,-0.4178498100,-0.4260065800,-0.4395076800,-0.4557376700,-0.4719539200,-0.4857418400,-0.4952172700,-0.4993363700,-0.4979271400,-0.4916194600,-0.4816680900,-0.4697070100,-0.4574791800,-0.4466105500,-0.4383453500,-0.4334569700,-0.4322137500,-0.4344080300,-0.4394543300,-0.4465252200,-0.4546989000,-0.4631454900,-0.4711065000,-0.4779893400,-0.4834887600,-0.4875082800,-0.4901114800,-0.4914604600,-0.4917557900,-0.4915953600,-0.4915668900,-0.4903123500,-0.4879861700,-0.4848330900,-0.4811674400,-0.4773469400,-0.4737434100,10
0.7274083500,1.4752171000,2.2470796000,2.9394889000,3.4510986000,3.7038105000,3.6595650000,3.3293926000,2.7717590000,2.0797236000,1.3614704000,0.7180987200,0.2237305300,-0.0853027950,-0.2140271200,-0.2015154000,-0.1068669300,0.0074655900,0.0913024970,0.1170025000,0.0816561630,0.0029499735,-0.0900482430,-0.1678506400,-0.2096607000,-0.2087411900,-0.1725931300,-0.1187764100,-0.0681989850,-0.0381962840,-0.0375842870,-0.0650157680,-0.1106459200,-0.1602284800,-0.2000733500,-0.2210872700,-0.2209433300,-0.2037665500,-0.1778437400,-0.1523551800,-0.1343146600,-0.1267079600,-0.1283004400,-0.1349243000,-0.1416092400,-0.1446887100,-0.1431042300,-0.1385413500,-0.1344409800,-0.1343720400,-0.1404687800,-0.1524428400,-0.1675990100,-0.1819183800,-0.1916039900,-0.1946024800,-0.1923402700,-0.1865360500,-0.1819134900,-0.1830932600,-0.1927310700,-0.2116325500,-0.2346452400,-0.2540249200,-0.2639779600,-0.2607991900,-0.2443731600,-0.2196521000,-0.1932691100,-0.1756553400,-0.1773123100,-0.2061023100,-0.2652689200,-0.3516412400,-0.4563598100,-0.5670615400,-0.6701918600,-0.7538960400,-0.8108307500,-0.8381993400,-0.8395037800,-0.8226233600,-0.7975639200,-0.7741427700,-0.7592118800,-0.7557962600,-0.7633846400,-0.7784902800,-0.7961474100,-0.8119239500,-0.8220082200,-0.8254817900,-0.8236375400,-0.8191766800,-0.8152661400,-0.8138848800,-0.8154713100,-0.8191587800,-0.8228772000,10
-0.1175130500,1.1690596000,2.6007480000,3.7970736000,4.4196890000,4.2984398000,3.4968206000,2.2878000000,1.0499896000,0.1275854700,-0.2882701300,-0.2099821700,0.1787886600,0.6188635200,0.8885705400,0.8862875500,0.6501152700,0.3159789000,0.0402119350,-0.0733417720,-0.0108400350,0.1614363300,0.3421759000,0.4487269200,0.4524482400,0.3812171400,0.2935987900,0.2417469100,0.2441316800,0.2798387500,0.3053014900,0.2813652600,0.1957572500,0.0688030200,-0.0584743490,-0.1463165200,-0.1758142500,-0.1566242500,-0.1202141600,-0.1030652200,-0.1291614200,-0.1998932000,-0.2958838500,-0.3878118900,-0.4506860200,-0.4726258200,-0.4590819500,-0.4271485800,-0.3986720000,-0.3838901100,-0.3859918000,-0.4017419800,-0.4230191100,-0.4405760600,-0.4480419900,-0.4451964900,-0.4362758600,-0.4278213100,-0.4234896400,-0.4258807400,-0.4346918300,-0.4478615700,-0.4613102900,-0.4722784000,-0.4798461400,-0.4848640100,-0.4884243400,-0.4916117300,-0.4958000400,-0.5016526400,-0.5089776200,-0.5156283600,-0.5203594100,-0.5222898300,-0.5217243300,-0.5183356800,-0.5135433000,-0.5094905900,-0.5083202700,-0.5108198200,-0.5167188100,-0.5252267500,-0.5352343100,-0.5456647300,-0.5554020000,-0.5645215900,-0.5734940200,-0.5828620200,-0.5923697600,-0.6016785200,-0.6103260000,-0.6182840400,-0.6253107700,-0.6312141000,-0.6361412900,-0.6403680400,-0.6440103200,-0.6462446700,-0.6463220900,9
-0.0603291440,0.9235900700,1.6241989000,1.6616341000,1.4452000000,1.6099972000,2.1600668000,2.5524657000,2.5233799000,2.3835122000,2.4235721000,2.4663115000,2.2352198000,1.8605727000,1.6893354000,1.7593628000,1.7842712000,1.6213538000,1.4628501000,1.4950930000,1.5829866000,1.4207923000,0.9094925200,0.2706967800,-0.1801553800,-0.3232790900,-0.2810965800,-0.2594045500,-0.3295276100,-0.4201067900,-0.4488019400,-0.4298479600,-0.4221599700,-0.4355659800,-0.4542041200,-0.4673948800,-0.4874269400,-0.4903498300,-0.4626246800,-0.4320266300,-0.4459849700,-0.4867640300,-0.4918470600,-0.4519725000,-0.4286682400,-0.4695437200,-0.5262633500,-0.5341060000,-0.4971334600,-0.4773862500,-0.5017449300,-0.5355009200,-0.5442180700,-0.5425855000,-0.5625276800,-0.5969730000,-0.6085669800,-0.5790111200,-0.5367789900,-0.5214698300,-0.5400354200,-0.5609293000,-0.5556219900,-0.5334099000,-0.5272500600,-0.5486771000,-0.5700718300,-0.5641515800,-0.5391610000,-0.5286270600,-0.5467573800,-0.5781021600,-0.6005408000,-0.6045613700,-0.5893836600,-0.5626456000,-0.5458937800,-0.5590354500,-0.5923381200,-0.6089590200,-0.5932312100,-0.5729907200,-0.5807523600,-0.6039355600,-0.6032548800,-0.5715315000,-0.5452516400,-0.5538693000,-0.5831775300,-0.6053519500,-0.6167290900,-0.6315231900,-0.6500994600,-0.6638674600,-0.6776595600,-0.7031117500,-0.7284213100,-0.7228018100,-0.6788940800,1
0.2813123400,0.8747958200,1.5355799000,2.2008132000,2.8011434000,3.2699592000,3.5526512000,3.6144482000,3.4455727000,3.0629033000,2.5078012000,1.8404654000,1.1316682000,0.4531579500,-0.1317952600,-0.5762877000,-0.8549490100,-0.9657366000,-0.9282272900,-0.7788633800,-0.5640704900,-0.3324579500,-0.1273905500,0.0189234190,0.0890038210,0.0809567300,0.0067226911,-0.1117516700,-0.2475780800,-0.3742485100,-0.4702756500,-0.5224216800,-0.5270957300,-0.4898650900,-0.4233671300,-0.3441678100,-0.2692528900,-0.2128186400,-0.1839406700,-0.1854529500,-0.2141112500,-0.2618799200,-0.3179791800,-0.3712275800,-0.4121981800,-0.4348070000,-0.4370937200,-0.4211278900,-0.3921597200,-0.3572613500,-0.3237772000,-0.2979019300,-0.2836464000,-0.2823464900,-0.2927435500,-0.3115528600,-0.3343495400,-0.3565666800,-0.3743758900,-0.3852989400,-0.3885067500,-0.3847306000,-0.3758890500,-0.3645380700,-0.3532876700,-0.3442872600,-0.3388591600,-0.3374152600,-0.3395300800,-0.3441812600,-0.3500698800,-0.3560359600,-0.3611690300,-0.3646437200,-0.3664061200,-0.3667912900,-0.3663545700,-0.3656868500,-0.3656881300,-0.3672256500,-0.3683923600,-0.3691913300,-0.3696781000,-0.3699454400,-0.3701041200,-0.3702770600,-0.3706041400,-0.3710443500,-0.3716240900,-0.3723397500,-0.3731587400,-0.3740245600,-0.3748687100,-0.3756520000,-0.3762356800,-0.3765557800,-0.3765702400,-0.3762611200,-0.3756346100,10
-0.3018775900,0.2317602100,0.8555097500,1.5199670000,2.1676652000,2.7395953000,3.1821336000,3.4534577000,3.5285800000,3.4023233000,3.0898378000,2.6245824000,2.0540804000,1.4340327000,0.8215971600,0.2687445000,-0.1834397500,-0.5087870600,-0.6979595200,-0.7580944200,-0.7103569400,-0.5858611800,-0.4206233800,-0.2503104000,-0.1055290800,-0.0082440466,0.0302001750,0.0093697709,-0.0615761640,-0.1664666200,-0.2854632100,-0.3985977400,-0.4889417200,-0.5449676000,-0.5618188600,-0.5413891300,-0.4913214800,-0.4231910200,-0.3502405700,-0.2850762800,-0.2376967200,-0.2141445000,-0.2159358300,-0.2402855000,-0.2810119600,-0.3299062800,-0.3782936000,-0.4185098500,-0.4450573800,-0.4552813500,-0.4495024500,-0.4306404700,-0.4034449600,-0.3735035100,-0.3462185000,-0.3259270200,-0.3152992400,-0.3150857300,-0.3242174500,-0.3402022200,-0.3597159400,-0.3792652000,-0.3958039000,-0.4071740900,-0.4123719000,-0.4115617200,-0.4058916100,-0.3971627500,-0.3874297000,-0.3786125900,-0.3721836900,-0.3689770900,-0.3691447700,-0.3722365500,-0.3773779800,-0.3834981600,-0.3895582800,-0.3947926000,-0.3986524400,-0.4010016200,-0.4020390800,-0.4021856800,-0.4019535100,-0.4018172900,-0.4025358900,-0.4047763400,-0.4067514200,-0.4083380000,-0.4094361200,-0.4099729000,-0.4099059300,-0.4092267800,-0.4081180700,-0.4065036100,-0.4043781100,-0.4019122800,-0.3993215200,-0.3968431000,-0.3947104400,9
