@relation	MiddlePhalanxTW_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	class	{3,4,5,6,7,8}
@data
-0.4788200000,-0.4289600000,-0.2579300000,-0.0380540000,0.2011500000,0.4294900000,0.6819200000,0.8766100000,1.0993000000,1.3471000000,1.4558000000,1.4066000000,1.3875000000,1.4631000000,1.4890000000,1.3698000000,1.1539000000,0.9025600000,0.6327700000,0.3894100000,0.1408900000,-0.1228500000,-0.3394600000,-0.4263500000,-0.4202500000,-0.2830500000,-0.1251900000,0.0774380000,0.3131600000,0.5515700000,0.8154400000,1.0492000000,1.2736000000,1.4233000000,1.3857000000,1.3226000000,1.3227000000,1.3284000000,1.3465000000,1.2509000000,1.2699000000,1.3794000000,1.1834000000,0.9352300000,0.7018000000,0.4789800000,0.2370700000,-0.0018434000,-0.2080900000,-0.3836900000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,-1.0853000000,8
-0.4437200000,-0.4241100000,-0.2480700000,-0.0434070000,0.2209100000,0.4440500000,0.6882800000,0.9425000000,1.0961000000,1.3641000000,1.4102000000,1.3660000000,1.3998000000,1.4649000000,1.4358000000,1.2871000000,1.0643000000,0.8403800000,0.5889100000,0.3571500000,0.1123400000,-0.1224400000,-0.3342200000,-0.4693700000,-0.4360500000,-0.2982800000,-0.1111200000,0.1052100000,0.3353000000,0.5754300000,0.8218000000,1.0537000000,1.2953000000,1.4473000000,1.3729000000,1.3237000000,1.3539000000,1.3868000000,1.3370000000,1.3116000000,1.3734000000,1.4033000000,1.1703000000,0.9381800000,0.7065300000,0.4680200000,0.2230600000,-0.0186740000,-0.2208100000,-0.3933900000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,-1.0841000000,8
-0.8455700000,-0.7953500000,-0.6363800000,-0.3770000000,-0.1143100000,0.1933400000,0.5284200000,0.8549100000,1.1494000000,1.4517000000,1.5322000000,1.4974000000,1.5339000000,1.6094000000,1.5402000000,1.4186000000,1.1856000000,0.8511300000,0.5449900000,0.2634900000,-0.0533890000,-0.3687600000,-0.5944900000,-0.7914300000,-0.7360400000,-0.6278900000,-0.4349900000,-0.1907900000,0.0793520000,0.3972100000,0.7010600000,0.9642400000,1.2173000000,1.4117000000,1.4942000000,1.4791000000,1.4531000000,1.4405000000,1.4347000000,1.3720000000,1.4944000000,1.3510000000,1.1935000000,0.8634200000,0.5603500000,0.2294000000,-0.0629450000,-0.3451800000,-0.5942100000,-0.7037100000,-0.3184100000,-0.3412100000,-0.4983500000,-0.7094800000,-0.8625100000,-1.0618000000,-1.2348000000,-1.4511000000,-1.5166000000,-1.4271000000,-1.1956000000,-1.0294000000,-0.8362800000,-0.6374200000,-0.4584600000,-0.3459800000,-0.3598100000,-0.5230200000,-0.6789500000,-0.8952100000,-1.1017000000,-1.2531000000,-1.4140000000,-1.4216000000,-1.3464000000,-1.1660000000,-1.0520000000,-0.8367800000,-0.6192100000,-0.4267000000,4
-0.4629500000,-0.4043400000,-0.2374300000,-0.0113540000,0.2342800000,0.5035700000,0.7447000000,0.8874100000,1.1188000000,1.3574000000,1.3764000000,1.3848000000,1.3860000000,1.4626000000,1.3804000000,1.1854000000,0.9846400000,0.7735100000,0.5235100000,0.3047500000,0.0571400000,-0.1799000000,-0.3070600000,-0.4307200000,-0.3915200000,-0.2773900000,-0.0805070000,0.1497800000,0.3928400000,0.6427300000,0.8822200000,1.0948000000,1.3239000000,1.3814000000,1.3359000000,1.3062000000,1.3742000000,1.3638000000,1.3233000000,1.3117000000,1.3996000000,1.4131000000,1.2082000000,0.9950200000,0.7623600000,0.5085600000,0.2595700000,0.0056495000,-0.2137600000,-0.3692900000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,-1.0911000000,8
-0.8019200000,-0.7155600000,-0.4876500000,-0.2005700000,0.0845790000,0.3302700000,0.6506600000,0.9458500000,1.2736000000,1.3942000000,1.3576000000,1.3681000000,1.4558000000,1.5654000000,1.5147000000,1.3280000000,1.0756000000,0.8107600000,0.4953100000,0.2274400000,-0.1184900000,-0.4265200000,-0.6425500000,-0.7891800000,-0.7208600000,-0.5179800000,-0.2722800000,0.0081742000,0.2914500000,0.5906100000,0.8527500000,1.1574000000,1.2394000000,1.2917000000,1.3454000000,1.3505000000,1.3558000000,1.3699000000,1.4303000000,1.5575000000,1.5264000000,1.4336000000,1.1338000000,0.7956100000,0.4876800000,0.1748300000,-0.0860720000,-0.3558800000,-0.5804700000,-0.7493800000,-0.2100400000,-0.2568800000,-0.4484800000,-0.7020000000,-0.8899900000,-1.1426000000,-1.3938000000,-1.5443000000,-1.5741000000,-1.3868000000,-1.1901000000,-0.9748500000,-0.7556200000,-0.5738800000,-0.3658600000,-0.3604400000,-0.5219700000,-0.7103400000,-0.9022500000,-1.1231000000,-1.3030000000,-1.4097000000,-1.4700000000,-1.3968000000,-1.2943000000,-1.1355000000,-0.9845500000,-0.8013800000,-0.5905800000,-0.3921400000,7
-0.8188600000,-0.8592800000,-0.6538400000,-0.4307900000,-0.1555400000,0.1809200000,0.5465700000,0.8511200000,1.2020000000,1.3644000000,1.4025000000,1.4272000000,1.4974000000,1.4922000000,1.4299000000,1.2201000000,0.9652500000,0.6325400000,0.2973900000,-0.0248350000,-0.3166000000,-0.5880300000,-0.8132000000,-0.7907400000,-0.6926200000,-0.4883900000,-0.2180200000,0.0679670000,0.3578200000,0.6803900000,0.9879200000,1.2861000000,1.5194000000,1.5995000000,1.4086000000,1.3692000000,1.3989000000,1.4285000000,1.4283000000,1.4786000000,1.5160000000,1.4428000000,1.2167000000,0.9204000000,0.6258100000,0.3053200000,0.0179180000,-0.2601400000,-0.5179600000,-0.7609100000,-0.4639500000,-0.6358400000,-0.7524500000,-0.8423100000,-1.0680000000,-1.2409000000,-1.3907000000,-1.3770000000,-1.3355000000,-1.2421000000,-1.0317000000,-0.8226200000,-0.6102300000,-0.3983800000,-0.2881200000,-0.3458900000,-0.4855200000,-0.6660900000,-0.8656500000,-1.0677000000,-1.1893000000,-1.2836000000,-1.3734000000,-1.3416000000,-1.2760000000,-1.1313000000,-0.9613200000,-0.7516000000,-0.5751300000,-0.3620800000,4
-0.8634000000,-0.8420800000,-0.6712500000,-0.3757500000,-0.0373890000,0.3015000000,0.6737200000,0.9777300000,1.2612000000,1.4508000000,1.4741000000,1.5095000000,1.6073000000,1.6718000000,1.5714000000,1.3346000000,1.1033000000,0.8350300000,0.5628500000,0.2672500000,-0.0506050000,-0.3683900000,-0.6303700000,-0.8639500000,-0.9651100000,-0.8696400000,-0.6384700000,-0.3905200000,-0.0933460000,0.2086200000,0.5357400000,0.8103800000,1.1122000000,1.3936000000,1.5719000000,1.4794000000,1.4185000000,1.4358000000,1.4665000000,1.5446000000,1.6626000000,1.4610000000,1.1914000000,0.8604100000,0.5487400000,0.2341100000,-0.0476160000,-0.3679900000,-0.6115400000,-0.8174300000,-0.4032100000,-0.3313600000,-0.4557800000,-0.6559600000,-0.8227800000,-1.0459000000,-1.2177000000,-1.3388000000,-1.3638000000,-1.2144000000,-1.0397000000,-0.8480300000,-0.7028200000,-0.5292300000,-0.3967000000,-0.4475500000,-0.5535100000,-0.6730500000,-0.8022000000,-1.0003000000,-1.1516000000,-1.2842000000,-1.2837000000,-1.3121000000,-1.1980000000,-1.0994000000,-0.9751800000,-0.8053200000,-0.5899600000,-0.4907100000,5
-0.4301000000,-0.3754200000,-0.2723500000,-0.0540330000,0.2009700000,0.4598300000,0.7065700000,0.9520400000,1.1329000000,1.3874000000,1.4441000000,1.4153000000,1.4393000000,1.4775000000,1.4437000000,1.2148000000,0.9710500000,0.7105400000,0.4966200000,0.2339400000,-0.0430670000,-0.2817200000,-0.4190900000,-0.4743600000,-0.3931500000,-0.2449500000,-0.0475800000,0.1667800000,0.4104100000,0.6498700000,0.9040300000,1.1063000000,1.3304000000,1.4642000000,1.3250000000,1.3066000000,1.3580000000,1.3738000000,1.3621000000,1.3398000000,1.4128000000,1.4041000000,1.1677000000,0.9314900000,0.6568300000,0.4391200000,0.1928400000,0.0004508300,-0.2145300000,-0.3730400000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,-1.0788000000,8
-0.4399900000,-0.4615100000,-0.2884100000,-0.0720150000,0.1718700000,0.4117100000,0.6457300000,0.8959600000,1.1061000000,1.2670000000,1.5125000000,1.4832000000,1.4413000000,1.4939000000,1.5540000000,1.4489000000,1.2396000000,1.0380000000,0.8044000000,0.5705300000,0.3012800000,0.0166870000,-0.2483900000,-0.4445800000,-0.5037100000,-0.4178100000,-0.2984500000,-0.1156200000,0.0907570000,0.3114300000,0.5437000000,0.7886200000,0.9541300000,1.1415000000,1.2864000000,1.3674000000,1.4213000000,1.4271000000,1.4394000000,1.4038000000,1.3536000000,1.3275000000,1.1518000000,1.0135000000,0.7678200000,0.5106300000,0.2655900000,0.0490040000,-0.1658500000,-0.3411700000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,-1.0740000000,8
-0.3876400000,-0.4874500000,-0.3451300000,-0.1074200000,0.1324400000,0.4110600000,0.6047300000,0.8756700000,1.0588000000,1.2200000000,1.2984000000,1.3244000000,1.3489000000,1.3279000000,1.1868000000,0.9605700000,0.6976800000,0.4252600000,0.1482900000,-0.1101400000,-0.3731500000,-0.4958300000,-0.5520500000,-0.4371700000,-0.2300100000,0.0096026000,0.2365000000,0.5056200000,0.7984000000,1.1019000000,1.4318000000,1.4410000000,1.3693000000,1.3854000000,1.3361000000,1.3758000000,1.2443000000,1.1875000000,1.3300000000,1.1123000000,1.1467000000,1.3484000000,1.4424000000,1.1152000000,0.8111100000,0.5627500000,0.2746800000,0.0056400000,-0.2340100000,-0.4279700000,-0.3942100000,-0.4706500000,-0.5818900000,-0.7516600000,-0.9542900000,-1.1543000000,-1.3097000000,-1.4272000000,-1.4756000000,-1.4958000000,-1.3522000000,-1.1679000000,-1.0512000000,-0.9017000000,-0.7453900000,-0.7111300000,-0.7936000000,-0.9552000000,-1.1122000000,-1.2599000000,-1.3860000000,-1.4587000000,-1.4814000000,-1.3977000000,-1.2918000000,-1.1543000000,-1.0434000000,-0.8854800000,-0.7235900000,-0.5173300000,4
