@relation	ProximalPhalanxTW_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	class	{3,4,5,6,7,8}
@data
-0.6575700000,-0.5713100000,-0.3485100000,-0.0979180000,0.1725200000,0.4504200000,0.6910200000,0.9456400000,1.1752000000,1.4173000000,1.4729000000,1.4280000000,1.4921000000,1.4454000000,1.2775000000,1.0398000000,0.8604400000,0.6466700000,0.4059500000,0.1691000000,-0.0985590000,-0.3382400000,-0.5639800000,-0.6571900000,-0.5647100000,-0.3427700000,-0.0996580000,0.1607700000,0.3971300000,0.6453400000,0.8670900000,1.0817000000,1.3108000000,1.5517000000,1.6395000000,1.5583000000,1.4545000000,1.4303000000,1.5447000000,1.5625000000,1.5297000000,1.3102000000,1.0580000000,0.8438900000,0.6146500000,0.3663200000,0.1312600000,-0.1158800000,-0.3459700000,-0.5648700000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,-1.0260000000,8
-0.6067700000,-0.5122200000,-0.3439600000,-0.0865850000,0.1819600000,0.4395400000,0.6832700000,0.9054600000,1.1069000000,1.3056000000,1.5230000000,1.5063000000,1.4520000000,1.4691000000,1.5502000000,1.3843000000,1.1453000000,0.9117100000,0.7079500000,0.4641000000,0.1984800000,-0.0822760000,-0.3454700000,-0.5454600000,-0.6310900000,-0.5131100000,-0.3111100000,-0.0657740000,0.1887700000,0.4245800000,0.6606100000,0.9028900000,1.0943000000,1.3405000000,1.5297000000,1.5452000000,1.4639000000,1.3967000000,1.4162000000,1.4967000000,1.5144000000,1.3061000000,1.0656000000,0.8230600000,0.5869200000,0.3451900000,0.1141900000,-0.1070000000,-0.3281100000,-0.5332600000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,-1.0379000000,8
-0.8257800000,-0.8111400000,-0.6174700000,-0.3264300000,-0.0339400000,0.2745700000,0.5857400000,0.9016100000,1.1972000000,1.4973000000,1.5713000000,1.5331000000,1.4816000000,1.5669000000,1.4715000000,1.1559000000,0.8315800000,0.5772300000,0.2624100000,-0.0272930000,-0.3226300000,-0.5893100000,-0.7459200000,-0.8474000000,-0.7744100000,-0.6343500000,-0.3695600000,-0.0945970000,0.2074300000,0.5141800000,0.8238200000,1.1352000000,1.4203000000,1.6178000000,1.5250000000,1.4618000000,1.4484000000,1.5663000000,1.5866000000,1.7155000000,1.6675000000,1.3952000000,1.1104000000,0.8259200000,0.5414600000,0.2248600000,-0.0661870000,-0.3644600000,-0.6328400000,-0.7722700000,-0.6337200000,-0.7046300000,-0.8171200000,-0.9952100000,-1.1368000000,-1.2518000000,-1.2322000000,-1.1718000000,-1.0954000000,-0.9682100000,-0.8874900000,-0.8332200000,-0.7868200000,-0.6812500000,-0.5865000000,-0.5636700000,-0.6154200000,-0.7111500000,-0.8425100000,-0.9980400000,-1.1242000000,-1.2561000000,-1.3191000000,-1.2246000000,-1.0618000000,-0.9297800000,-0.7460200000,-0.6142600000,-0.5010000000,-0.5500000000,5
-0.6038400000,-0.5137100000,-0.3153800000,-0.0682600000,0.1819300000,0.4566800000,0.7292100000,0.9447100000,1.1869000000,1.4323000000,1.4709000000,1.4291000000,1.5039000000,1.4537000000,1.3177000000,1.0761000000,0.8928200000,0.6719500000,0.4234400000,0.1714300000,-0.0624990000,-0.2693900000,-0.5005800000,-0.5688500000,-0.5840900000,-0.4253100000,-0.1995600000,0.0514350000,0.3023900000,0.5379600000,0.7861200000,1.0094000000,1.2392000000,1.5031000000,1.6271000000,1.5778000000,1.4610000000,1.4317000000,1.4811000000,1.5747000000,1.5742000000,1.3613000000,1.1070000000,0.8778900000,0.6247200000,0.3878700000,0.1393600000,-0.0938220000,-0.3359000000,-0.5166900000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,-1.0313000000,8
-0.5858200000,-0.5021800000,-0.3566600000,-0.1112000000,0.1411100000,0.3981000000,0.6399100000,0.9146900000,1.0969000000,1.3203000000,1.5096000000,1.4758000000,1.5162000000,1.5646000000,1.3786000000,1.2089000000,0.9748200000,0.7573200000,0.5261800000,0.2767800000,0.0140200000,-0.2359200000,-0.4516300000,-0.6195800000,-0.6045300000,-0.4335500000,-0.2159000000,0.0199500000,0.2648000000,0.4978400000,0.7255400000,0.9645000000,1.2037000000,1.4274000000,1.5721000000,1.6095000000,1.5033000000,1.4414000000,1.4605000000,1.5386000000,1.5323000000,1.3023000000,1.1187000000,0.8774600000,0.6431100000,0.4103100000,0.1685000000,-0.0796690000,-0.3092300000,-0.4931800000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,-1.0332000000,8
-0.5741100000,-0.4908500000,-0.3451800000,-0.0865600000,0.1866200000,0.4520000000,0.6917000000,0.9276200000,1.1441000000,1.3462000000,1.5741000000,1.5810000000,1.4551000000,1.3377000000,1.4671000000,1.4772000000,1.3165000000,1.0780000000,0.8689100000,0.6681000000,0.4085900000,0.1573600000,-0.1147700000,-0.3615900000,-0.5202000000,-0.6005400000,-0.4989500000,-0.2864100000,-0.0489160000,0.1926100000,0.4512700000,0.6936600000,0.9319000000,1.1962000000,1.4311000000,1.5156000000,1.4162000000,1.3073000000,1.2945000000,1.3804000000,1.5071000000,1.4086000000,1.1627000000,0.9193000000,0.6761700000,0.4200800000,0.1773200000,-0.0772040000,-0.3226200000,-0.5004600000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,-1.0464000000,8
-0.5857200000,-0.5108500000,-0.3407600000,-0.0889440000,0.1769700000,0.4501900000,0.7272800000,0.9579900000,1.1380000000,1.3842000000,1.4757000000,1.4528000000,1.4241000000,1.4899000000,1.3538000000,1.1852000000,0.9894100000,0.7598200000,0.5356600000,0.2805900000,0.0284760000,-0.2181400000,-0.4398800000,-0.5837000000,-0.5794600000,-0.4032600000,-0.1785700000,0.0599340000,0.3044600000,0.5416000000,0.7848100000,1.0346000000,1.2856000000,1.4936000000,1.5978000000,1.5351000000,1.4151000000,1.3994000000,1.5304000000,1.5302000000,1.5294000000,1.3083000000,1.0536000000,0.8230300000,0.5778500000,0.3410800000,0.1163800000,-0.1238200000,-0.3487600000,-0.5161900000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,-1.0385000000,8
-0.9286200000,-0.8308100000,-0.5965700000,-0.3260600000,-0.0040754000,0.2977600000,0.6356800000,0.9414900000,1.1997000000,1.5096000000,1.6164000000,1.5929000000,1.6421000000,1.6045000000,1.3597000000,1.1442000000,0.9053000000,0.6351400000,0.3077500000,0.0050723000,-0.3197300000,-0.6169900000,-0.8679200000,-0.9838100000,-0.8655100000,-0.6501600000,-0.4188300000,-0.1642800000,0.0962110000,0.3601800000,0.6171300000,0.8560800000,1.1557000000,1.3522000000,1.5164000000,1.4861000000,1.5278000000,1.5795000000,1.5949000000,1.7466000000,1.6979000000,1.4713000000,1.1837000000,0.8906700000,0.5873500000,0.2854600000,-0.0049670000,-0.3223900000,-0.6105000000,-0.8389600000,-0.3513900000,-0.4951500000,-0.6541900000,-0.7672200000,-0.9587200000,-1.1518000000,-1.2508000000,-1.3493000000,-1.2585000000,-1.1044000000,-0.9499800000,-0.7832900000,-0.7183300000,-0.6392100000,-0.5971400000,-0.6359500000,-0.6953800000,-0.7743900000,-0.8895700000,-1.0455000000,-1.0866000000,-1.2373000000,-1.3098000000,-1.2500000000,-1.1052000000,-0.9143700000,-0.7503600000,-0.5690100000,-0.4292900000,-0.3298600000,7
-0.6000000000,-0.5231500000,-0.3279000000,-0.0861640000,0.1764400000,0.4287600000,0.6898600000,0.9454200000,1.1900000000,1.4169000000,1.4808000000,1.4058000000,1.3207000000,1.3685000000,1.2372000000,1.0371000000,0.8527600000,0.6520800000,0.4128200000,0.1375000000,-0.1294100000,-0.3772700000,-0.5129000000,-0.6031600000,-0.5180600000,-0.3174500000,-0.0930730000,0.1556400000,0.3995300000,0.6270100000,0.8546100000,1.0709000000,1.3040000000,1.5285000000,1.6485000000,1.6093000000,1.4695000000,1.4066000000,1.4523000000,1.5931000000,1.6289000000,1.3769000000,1.1105000000,0.9005900000,0.6650200000,0.3907500000,0.1403900000,-0.1051500000,-0.3068200000,-0.5097100000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,-1.0358000000,8
-0.8518800000,-0.7569200000,-0.5494300000,-0.2750500000,0.0242740000,0.3444200000,0.6743100000,0.9991100000,1.2721000000,1.5332000000,1.5818000000,1.4775000000,1.5423000000,1.5660000000,1.4038000000,1.1278000000,0.8300400000,0.5315800000,0.2594500000,-0.0213210000,-0.3248300000,-0.5851200000,-0.8055800000,-0.9394500000,-0.8530700000,-0.6376200000,-0.3766000000,-0.1076700000,0.1878000000,0.4866300000,0.7786000000,1.0620000000,1.3546000000,1.5302000000,1.5026000000,1.3998000000,1.5063000000,1.5611000000,1.5939000000,1.7067000000,1.6680000000,1.4294000000,1.1275000000,0.8426800000,0.5582600000,0.2627800000,-0.0597530000,-0.3520900000,-0.6328900000,-0.8431400000,-0.5311500000,-0.5978900000,-0.7093900000,-0.8635900000,-0.9987400000,-1.1296000000,-1.2513000000,-1.2843000000,-1.1735000000,-1.0543000000,-0.9902100000,-0.8927700000,-0.8423800000,-0.7484700000,-0.6613000000,-0.5973400000,-0.6040500000,-0.6661800000,-0.7562700000,-0.9017800000,-1.0497000000,-1.1843000000,-1.2773000000,-1.2847000000,-1.1630000000,-1.0041000000,-0.8364300000,-0.6761200000,-0.5427000000,-0.4815200000,5
