@relation	ECG200_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	class	{1,2}
@data
0.5020600000,0.5421600000,0.7223800000,1.4289000000,2.1365000000,2.2811000000,1.9363000000,1.4689000000,1.0088000000,0.3802800000,-0.2967800000,-0.5139300000,-0.2556400000,-0.1072000000,-0.2878300000,-0.4180100000,-0.3191600000,-0.2603800000,-0.3503600000,-0.5054900000,-0.7108900000,-0.8239200000,-0.8997000000,-1.1539000000,-1.2298000000,-1.0441000000,-1.2020000000,-1.3922000000,-1.1301000000,-1.1799000000,-1.6493000000,-1.7266000000,-1.6084000000,-1.6628000000,-1.6507000000,-1.6973000000,-1.8387000000,-1.8026000000,-1.7805000000,-1.8252000000,-1.6448000000,-1.4238000000,-1.3922000000,-1.3604000000,-1.2002000000,-0.9186300000,-0.6859200000,-0.6679400000,-0.5127200000,-0.1016900000,0.0639540000,0.0826140000,0.2376100000,0.1747900000,0.1232100000,0.5033900000,0.6838700000,0.4749900000,0.5328000000,0.7235500000,0.6644200000,0.6479400000,0.7570500000,0.7320700000,0.6202100000,0.6063000000,0.6779500000,0.6890800000,0.5988100000,0.5426500000,0.5818100000,0.6306300000,0.6644200000,0.6863200000,0.6573800000,0.6508900000,0.7217400000,0.7397100000,0.6914800000,0.6952300000,0.7501100000,0.8538400000,0.9160200000,0.8277500000,0.8809100000,1.0888000000,0.9310400000,0.6103000000,0.6388900000,0.6846800000,0.5832400000,0.6405200000,0.7085900000,0.7050100000,0.7138200000,0.4337600000,2
0.1476500000,0.8046700000,0.3677700000,0.2438900000,0.0266140000,-0.2744000000,0.0967310000,-0.7477300000,-1.6098000000,-1.1796000000,-1.0559000000,-1.1288000000,-0.6860400000,-0.7987900000,-1.7143000000,-1.6499000000,-1.0327000000,-1.4239000000,-1.7824000000,-1.0251000000,-1.7989000000,-1.7936000000,-1.0855000000,-1.5744000000,-1.0361000000,-2.1300000000,-2.0386000000,-0.0550130000,-1.1402000000,-0.7042800000,0.0487230000,-0.4758500000,0.5258700000,0.2447800000,0.6799300000,0.9286000000,0.5730400000,1.2316000000,1.0433000000,1.5802000000,1.2906000000,0.7505200000,0.9775700000,1.1416000000,1.5299000000,0.8476800000,0.7667600000,0.5656800000,1.0846000000,1.0574000000,0.5030800000,0.9532900000,0.4542000000,1.1990000000,0.8497200000,-0.1377100000,0.6311200000,0.6940800000,0.5150700000,0.5592300000,0.5557100000,0.4696900000,0.3888200000,0.3431300000,0.5356000000,0.9007100000,0.6568500000,0.6900300000,0.9526000000,0.5477700000,-0.1676900000,0.0115320000,-0.1764900000,-0.2777100000,-0.2248400000,-0.9107200000,-0.0379320000,0.0716680000,-1.0489000000,-0.6362200000,-0.3866400000,-0.5075100000,-0.7166600000,-0.4637600000,-0.4604400000,-0.7707900000,-0.5335000000,-0.4002300000,0.1760800000,1.1118000000,2.4384000000,2.7349000000,1.7361000000,0.0368570000,-1.2651000000,-0.2080200000,1
0.3166500000,0.2432000000,0.3704700000,1.0637000000,1.6782000000,1.7596000000,1.6977000000,1.6122000000,1.1682000000,0.4999600000,-0.0223630000,-0.2353200000,-0.1182700000,-0.0710270000,-0.3229900000,-0.4335600000,-0.3186600000,-0.2956500000,-0.4177300000,-0.6824800000,-0.8818400000,-0.8433200000,-0.8836500000,-1.0300000000,-1.0553000000,-1.1686000000,-1.3640000000,-1.3376000000,-1.2613000000,-1.4098000000,-1.6345000000,-1.7032000000,-1.6770000000,-1.7826000000,-1.9969000000,-2.0564000000,-1.9379000000,-1.8794000000,-1.9154000000,-1.8455000000,-1.6581000000,-1.5095000000,-1.3934000000,-1.2329000000,-1.0243000000,-0.7686400000,-0.5112900000,-0.3095600000,-0.1319600000,0.0350540000,0.1421600000,0.2258100000,0.3436900000,0.4285900000,0.4695700000,0.5697800000,0.6756700000,0.6998900000,0.7325600000,0.7716700000,0.7381300000,0.7237000000,0.8068800000,0.8789800000,0.8557900000,0.8063800000,0.7925000000,0.8038100000,0.7819400000,0.7004400000,0.7359600000,0.8641600000,0.7076700000,0.4587600000,0.6001500000,0.8251400000,0.8000300000,0.7628200000,0.7554400000,0.6537700000,0.5264400000,0.4773400000,0.5749500000,0.6984200000,0.7224100000,0.7716000000,0.7642300000,0.6106200000,0.5529000000,0.5667900000,0.6040000000,0.7770700000,0.8123500000,0.7488500000,0.8180400000,0.5393500000,2
1.1689000000,2.0759000000,1.7601000000,1.6064000000,1.9490000000,1.3028000000,0.4593300000,0.5164100000,0.8521800000,0.9892300000,0.8212500000,0.5764500000,0.7430900000,0.8529700000,0.3074600000,-0.1303900000,-0.0622000000,-0.1007300000,-0.2328200000,-0.2344600000,-0.2147600000,-0.2304100000,-0.2275500000,-0.2310000000,-0.4634800000,-0.7242100000,-0.7878800000,-0.9866900000,-1.2247000000,-1.2881000000,-1.3641000000,-1.4282000000,-1.5018000000,-1.6481000000,-1.7058000000,-1.6868000000,-1.7057000000,-1.7777000000,-1.8693000000,-1.8584000000,-1.7377000000,-1.7291000000,-1.7281000000,-1.5460000000,-1.4591000000,-1.4108000000,-1.1634000000,-0.9074200000,-0.7162100000,-0.5817600000,-0.4425300000,-0.2070500000,-0.0264630000,0.1170400000,0.2206400000,0.2643200000,0.4050500000,0.4649700000,0.4341600000,0.4868100000,0.4393900000,0.3696100000,0.4131500000,0.3978900000,0.3187600000,0.2637200000,0.2888600000,0.3582400000,0.3267400000,0.2292200000,0.2044200000,0.2443900000,0.2626300000,0.2438800000,0.2275000000,0.2457800000,0.2329600000,0.1646100000,0.1715400000,0.1666900000,0.0991410000,0.1469400000,0.1334100000,0.1252900000,0.2027100000,0.1864100000,0.4190100000,0.7238900000,1.3239000000,2.1365000000,1.7466000000,1.4702000000,1.8935000000,1.2569000000,0.8004100000,0.7315400000,2
0.6486600000,0.7520300000,2.6362000000,3.4557000000,2.1182000000,0.5206200000,-0.1886300000,0.7808200000,0.9337700000,0.7014000000,1.0061000000,0.3957800000,-0.3697000000,-0.7382000000,-0.7290800000,-0.9069400000,-0.8709600000,-1.0602000000,-1.1980000000,-0.9816000000,-1.2725000000,-1.2874000000,-1.2767000000,-1.5397000000,-1.3466000000,-1.5352000000,-1.7634000000,-1.6888000000,-1.8094000000,-1.8639000000,-1.9945000000,-1.8898000000,-1.9257000000,-1.8336000000,-1.6618000000,-1.3425000000,-1.0113000000,-0.6727200000,-0.2161600000,0.0528720000,0.5620900000,0.7008800000,0.9469300000,1.0050000000,1.0275000000,1.1917000000,0.9688600000,0.8446200000,0.7794900000,0.7439400000,0.6733500000,0.5052800000,0.6625500000,0.6077000000,0.5461000000,0.6871600000,0.5430000000,0.4531500000,0.4857800000,0.4406800000,0.5391500000,0.3695700000,0.3773200000,0.4701100000,0.3214500000,0.3255100000,0.2512600000,0.2705700000,0.2771600000,0.1551700000,0.1209500000,0.3264000000,0.4739500000,0.5947400000,0.6982000000,0.8267800000,0.5751700000,0.4012000000,0.3499700000,0.1480500000,-0.0332060000,-0.1142700000,0.1203500000,-0.2201000000,-0.1512300000,-0.0774450000,-0.0978690000,-0.1367900000,-0.3402400000,-0.0894410000,-0.0802970000,-0.1925800000,-0.3047000000,-0.4545600000,0.3145900000,0.5821900000,1
0.4047300000,1.2809000000,2.5151000000,1.2995000000,1.4534000000,0.4742800000,-1.3966000000,-0.6470800000,0.4319500000,0.1324500000,-0.4066100000,0.2305700000,-0.1213500000,-0.9186400000,-1.2468000000,-1.3484000000,-1.1903000000,-1.0113000000,-2.0039000000,-1.3270000000,-0.9760300000,-1.8636000000,-1.4877000000,-1.6161000000,-1.9576000000,-1.7007000000,-1.5185000000,-1.8976000000,-2.1772000000,-1.8728000000,-1.7753000000,-1.6682000000,-1.9333000000,-1.4896000000,-1.1507000000,-1.0782000000,-0.7737200000,-0.5202200000,-0.2052500000,-0.0266080000,0.2990500000,0.1943200000,0.7017900000,0.6718900000,0.8537900000,0.6768500000,0.8989200000,0.7722600000,0.6498600000,0.6388200000,0.6702500000,1.0374000000,0.4330500000,0.6571600000,0.5290100000,0.5620700000,1.0284000000,-0.0196860000,1.1778000000,0.8479000000,0.1694300000,0.6734300000,0.6352600000,0.7482200000,0.6401700000,0.5913200000,0.4316800000,0.7175000000,0.5954200000,0.4584900000,0.4835700000,0.6557100000,0.4907900000,1.0669000000,0.9291500000,0.9390300000,1.3122000000,0.5806000000,0.5709600000,0.5227700000,0.4463200000,0.6206800000,0.0497130000,0.2698600000,0.4189200000,-0.0643460000,0.3764700000,0.2778100000,0.2256800000,0.1590900000,0.4083500000,0.5400200000,-0.0277910000,0.2034800000,0.3469600000,0.3391800000,1
1.2050000000,2.0319000000,2.4473000000,2.7394000000,2.7459000000,2.2764000000,1.5254000000,0.7606000000,0.1884500000,-0.0290510000,-0.0495240000,-0.2099600000,-0.3741500000,-0.2486400000,-0.0950170000,-0.0994790000,-0.1214200000,-0.3585500000,-0.7391300000,-0.7876500000,-0.7089400000,-0.7597600000,-0.7410600000,-0.8817100000,-1.0189000000,-0.5813800000,-0.3589900000,-0.9242200000,-1.0948000000,-0.6613600000,-0.7851200000,-1.2882000000,-1.3345000000,-1.2678000000,-1.5021000000,-1.6400000000,-1.5340000000,-1.5669000000,-1.7310000000,-1.7197000000,-1.6685000000,-1.7355000000,-1.6473000000,-1.3876000000,-1.3096000000,-1.3197000000,-1.1004000000,-0.9004600000,-0.9343400000,-0.7651900000,-0.3175000000,-0.1271200000,-0.1239400000,0.0944180000,0.2884300000,0.2613500000,0.2897300000,0.4072800000,0.4366400000,0.4493100000,0.5708700000,0.7111800000,0.6727100000,0.5010200000,0.5047400000,0.6441000000,0.5693400000,0.4063800000,0.4502300000,0.5175200000,0.5027700000,0.5719300000,0.6346900000,0.6493100000,0.7030800000,0.5876900000,0.3552000000,0.3909600000,0.5588300000,0.6110100000,0.6925800000,0.7944500000,0.8968900000,1.0515000000,0.9391200000,0.5557400000,0.4473100000,0.5646400000,0.4876000000,0.4210000000,0.5497700000,0.5054600000,0.2818400000,0.3468300000,0.5263800000,0.2278900000,2
0.5982400000,1.0987000000,1.6835000000,2.4789000000,2.8024000000,2.4387000000,1.7177000000,1.0093000000,0.2573500000,-0.2215600000,-0.1355800000,-0.1912700000,-0.3069700000,-0.1676400000,-0.0980050000,-0.0562600000,-0.3234000000,-0.6301800000,-0.5697200000,-0.7094100000,-0.7503200000,-0.6733300000,-0.9801000000,-1.2071000000,-1.1814000000,-1.0264000000,-1.2995000000,-1.9289000000,-1.9076000000,-1.8688000000,-1.9906000000,-2.0116000000,-2.4027000000,-2.1440000000,-1.6618000000,-1.9394000000,-1.8723000000,-1.5547000000,-1.3012000000,-1.0165000000,-0.9792800000,-0.7062500000,-0.3033700000,-0.0126460000,0.1696700000,0.0913300000,0.2502800000,0.3872700000,0.2579300000,0.4292900000,0.5175100000,0.4046800000,0.5119800000,0.5773300000,0.5218900000,0.5525600000,0.6021400000,0.5481800000,0.4138500000,0.3740400000,0.5186600000,0.5510200000,0.4147800000,0.4808000000,0.5954400000,0.5687400000,0.7219700000,0.8431300000,0.6168300000,0.6080200000,0.7763000000,0.6168200000,0.5995200000,0.6889300000,0.5307300000,0.5446200000,0.6598200000,0.5648600000,0.4726300000,0.4542000000,0.4064900000,0.3157300000,0.1554800000,0.1501200000,0.3543900000,0.3786900000,0.3946300000,0.5257800000,0.2793500000,-0.0696580000,0.0275440000,0.1530200000,0.0422320000,0.1342700000,0.2961500000,0.0629320000,2
0.3280100000,1.2102000000,2.5977000000,2.2108000000,1.6217000000,-0.2393200000,-1.5987000000,-0.6021400000,-0.0866030000,0.0265810000,-0.3030500000,-0.3724600000,-0.2791300000,-0.9494700000,-0.9640900000,-0.9548600000,-1.2033000000,-1.3401000000,-1.3715000000,-1.1739000000,-1.4190000000,-1.5592000000,-1.3084000000,-1.8124000000,-1.6991000000,-1.5042000000,-2.0016000000,-1.8574000000,-1.9543000000,-1.7167000000,-2.1675000000,-1.6749000000,-1.8146000000,-1.5074000000,-0.9997000000,-1.0499000000,-0.5148500000,-0.2983500000,0.1288800000,0.3794300000,0.4746000000,0.6064700000,1.0355000000,0.9076000000,1.0429000000,0.9198600000,1.1408000000,0.8501700000,0.7868900000,1.0158000000,0.7808800000,0.8010100000,0.6562100000,0.6961800000,0.6779000000,0.9015100000,0.6549200000,0.8144800000,0.8591400000,0.6834500000,0.6402100000,0.7917800000,0.5601400000,0.6339100000,0.7720100000,0.4196700000,0.6348000000,0.5357700000,0.3213000000,0.4825600000,0.5763100000,0.2899600000,0.6897700000,0.8556000000,0.7565300000,0.8601300000,0.7238800000,0.4458900000,0.5209100000,0.5971000000,0.0041582000,0.1887400000,0.3583900000,-0.1694800000,0.3133600000,0.1259900000,-0.0461150000,0.0998010000,-0.0528880000,0.1190600000,0.0619890000,-0.0601220000,-0.0309530000,0.0011112000,0.2277200000,0.2397100000,1
1.6682000000,2.8482000000,2.5170000000,2.1728000000,0.7204700000,0.7253800000,1.6386000000,1.2929000000,1.6096000000,1.3950000000,0.1492800000,-0.3332300000,-0.4527800000,-0.7850900000,-0.8285300000,-0.8265700000,-0.9735000000,-1.1701000000,-1.1505000000,-1.2575000000,-1.4204000000,-1.4846000000,-1.4658000000,-1.3779000000,-1.6042000000,-1.7756000000,-1.7615000000,-2.0809000000,-2.2271000000,-1.9579000000,-2.1090000000,-1.8941000000,-1.8003000000,-1.4642000000,-1.0481000000,-0.8951800000,-0.4907000000,-0.0173170000,0.2034500000,0.2788300000,0.6750200000,0.6551100000,0.6804900000,0.7190800000,0.7201900000,0.6560200000,0.5360400000,0.6683700000,0.6861900000,0.5590500000,0.5608500000,0.6596500000,0.7094100000,0.6154800000,0.6312600000,0.5674200000,0.4007100000,0.4570400000,0.5083000000,0.4118000000,0.4005300000,0.3618900000,0.2679200000,0.3217500000,0.2626900000,0.2258200000,0.2566900000,0.1465100000,0.1234400000,0.1056900000,0.1960100000,0.0643460000,0.0805980000,0.3332700000,0.2929400000,0.3826100000,0.6815100000,0.6151000000,0.3269900000,0.1654900000,0.0962260000,0.0183810000,-0.0360490000,-0.0226880000,-0.0061313000,-0.0143230000,-0.1543600000,-0.0178050000,-0.0075063000,0.0053625000,-0.0265970000,-0.0481920000,-0.0323470000,-0.2140500000,0.0560310000,0.1478900000,1
