@relation	SLeaf5test.txt
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	97	real
@attribute	98	real
@attribute	99	real
@attribute	100	real
@attribute	101	real
@attribute	102	real
@attribute	103	real
@attribute	104	real
@attribute	105	real
@attribute	106	real
@attribute	107	real
@attribute	108	real
@attribute	109	real
@attribute	110	real
@attribute	111	real
@attribute	112	real
@attribute	113	real
@attribute	114	real
@attribute	115	real
@attribute	116	real
@attribute	117	real
@attribute	118	real
@attribute	119	real
@attribute	120	real
@attribute	121	real
@attribute	122	real
@attribute	123	real
@attribute	124	real
@attribute	125	real
@attribute	126	real
@attribute	127	real
@attribute	128	real
@attribute	class	{1,2}
@data
1.8217000000,1.7775000000,1.6137000000,1.4366000000,1.2775000000,1.1118000000,0.9478000000,0.8139400000,0.6166400000,0.4836800000,0.3581000000,0.2949300000,0.1585000000,0.0848670000,-0.0687010000,-0.0213540000,-0.0952320000,-0.2343900000,-0.3294500000,-0.3316900000,-0.4536100000,-0.4764700000,-0.4841300000,-0.5794200000,-0.6666200000,-0.6905800000,-0.8136100000,-0.8149400000,-0.9190300000,-1.0132000000,-0.9776300000,-1.0478000000,-1.1645000000,-1.2076000000,-1.2939000000,-1.4186000000,-1.4392000000,-1.5078000000,-1.5457000000,-1.5105000000,-1.4531000000,-1.3754000000,-1.2794000000,-1.1676000000,-1.0225000000,-0.8888700000,-0.7449400000,-0.5818600000,-0.4245600000,-0.2546000000,-0.0177780000,0.1599600000,0.3377800000,0.5214200000,0.6991300000,0.8830000000,1.0606000000,1.2447000000,1.4222000000,1.6064000000,1.7910000000,1.9757000000,2.1456000000,2.1277000000,1.8812000000,1.6992000000,1.5208000000,1.3392000000,1.1608000000,0.9796400000,0.8011500000,0.6205200000,0.4419600000,0.2634100000,0.0833790000,-0.0957550000,-0.2738400000,-0.4477800000,-0.6014300000,-0.6867800000,-0.8149400000,-0.9245600000,-1.0132000000,-1.1103000000,-1.1914000000,-1.2547000000,-1.2547000000,-1.2746000000,-1.2738000000,-1.2523000000,-1.1546000000,-1.0347000000,-0.9635500000,-0.9231700000,-0.8698500000,-0.8043600000,-0.7865900000,-0.6988300000,-0.6014300000,-0.4953600000,-0.4373100000,-0.4245600000,-0.3474500000,-0.2622800000,-0.1696900000,-0.1670200000,-0.1119900000,0.0071520000,0.0479780000,0.0559860000,0.1189300000,0.1443800000,0.2278200000,0.3215300000,0.3451800000,0.3806100000,0.4478200000,0.5596900000,0.6987100000,0.7147600000,0.9253700000,1.0156000000,1.1791000000,1.2237000000,1.2753000000,1.4524000000,1.5747000000,1.7586000000,2
1.6233000000,1.5219000000,1.3732000000,1.2290000000,1.0909000000,1.0086000000,0.8759300000,0.7573700000,0.7915000000,0.6746700000,0.5633000000,0.4401200000,0.2742100000,0.2456100000,0.1128000000,0.0308100000,-0.0419850000,-0.0352880000,-0.1514500000,-0.1626400000,-0.2308500000,-0.2910800000,-0.3427300000,-0.4269900000,-0.5046700000,-0.5750800000,-0.6375000000,-0.7541900000,-0.8921700000,-0.9741600000,-0.9966100000,-1.1061000000,-1.2524000000,-1.3902000000,-1.5383000000,-1.6173000000,-1.6621000000,-1.6352000000,-1.5822000000,-1.5064000000,-1.4285000000,-1.3243000000,-1.1444000000,-0.9904600000,-0.8429900000,-0.6888900000,-0.5344200000,-0.3796400000,-0.2246200000,-0.0290520000,0.1258900000,0.2726100000,0.4195200000,0.5665900000,0.7071400000,0.8547600000,1.0025000000,1.1995000000,1.3423000000,1.4905000000,1.6433000000,1.7965000000,1.9499000000,1.9845000000,1.8259000000,1.6748000000,1.5262000000,1.3776000000,1.2290000000,1.0804000000,0.9318200000,0.7368800000,0.5884800000,0.4401200000,0.2918000000,0.1435300000,-0.0046882000,-0.1528400000,-0.3053700000,-0.5068200000,-0.6581400000,-0.8067500000,-0.9573300000,-1.1068000000,-1.2524000000,-1.3824000000,-1.4285000000,-1.4622000000,-1.5131000000,-1.5305000000,-1.5531000000,-1.5064000000,-1.4285000000,-1.3134000000,-1.1990000000,-1.0572000000,-0.9519800000,-0.8360600000,-0.6627500000,-0.5789600000,-0.5811800000,-0.4161000000,-0.3088400000,-0.1965200000,-0.1645100000,-0.0829690000,0.0041187000,0.0581140000,0.1195600000,0.0494750000,0.1602300000,0.2431900000,0.2625600000,0.3298400000,0.3627400000,0.4454400000,0.4700300000,0.5870300000,0.6732500000,0.7839500000,0.7915000000,0.9242200000,0.9907800000,1.1287000000,1.1995000000,1.3423000000,1.4824000000,1.5758000000,2
2.0124000000,1.8767000000,1.6884000000,1.5033000000,1.3120000000,1.1444000000,1.0079000000,0.8240200000,0.7377100000,0.5625100000,0.4767200000,0.4008700000,0.2422400000,0.1146500000,0.1385600000,0.0333230000,-0.0933550000,-0.1045900000,-0.2132000000,-0.2423700000,-0.2927600000,-0.3702300000,-0.4793600000,-0.5332600000,-0.6201400000,-0.5508700000,-0.6100200000,-0.7060300000,-0.7894300000,-0.8049100000,-0.9652600000,-0.9572800000,-1.0843000000,-1.0922000000,-1.1303000000,-1.1935000000,-1.2305000000,-1.3114000000,-1.2913000000,-1.3253000000,-1.3305000000,-1.3264000000,-1.3288000000,-1.3080000000,-1.2150000000,-1.1496000000,-1.0651000000,-0.9632600000,-0.7596600000,-0.5573400000,-0.3540200000,-0.1502800000,0.0028943000,0.2076500000,0.4113300000,0.6165600000,0.8201700000,1.0258000000,1.2293000000,1.4329000000,1.6365000000,1.8384000000,2.0402000000,2.1948000000,2.2009000000,1.9974000000,1.7875000000,1.5826000000,1.3781000000,1.1743000000,0.9714600000,0.7677700000,0.5656600000,0.3620600000,0.1609200000,-0.0391900000,-0.1915800000,-0.3947100000,-0.5929400000,-0.7894300000,-0.9157900000,-0.9672500000,-1.0469000000,-1.1027000000,-1.1330000000,-1.1761000000,-1.1848000000,-1.2083000000,-1.1330000000,-1.1480000000,-1.0469000000,-1.0651000000,-0.9657600000,-0.8967500000,-0.8614600000,-0.8105600000,-0.6942500000,-0.7155800000,-0.5733500000,-0.5332600000,-0.4688600000,-0.3926600000,-0.3054800000,-0.3914300000,-0.3278500000,-0.3330700000,-0.2423700000,-0.1411700000,-0.0646840000,-0.1582700000,-0.0687650000,-0.0311010000,0.1146500000,0.1955900000,0.2227600000,0.1928300000,0.3355300000,0.4892300000,0.4927500000,0.6078600000,0.7907700000,0.8789700000,1.0258000000,1.2261000000,1.3279000000,1.5329000000,1.7405000000,1.9572000000,2
2.0674000000,1.9106000000,1.7119000000,1.5201000000,1.3285000000,1.1395000000,1.0092000000,0.8327500000,0.8653000000,0.7032100000,0.5596400000,0.4141800000,0.4892100000,0.3813800000,0.2243300000,0.0990350000,0.0722870000,0.0322580000,-0.0422150000,-0.1239300000,-0.2625500000,-0.2862800000,-0.2274000000,-0.2996300000,-0.3867300000,-0.4794000000,-0.4330800000,-0.5219400000,-0.4314300000,-0.4466800000,-0.4841000000,-0.5161700000,-0.6728000000,-0.6745700000,-0.7582600000,-0.7273400000,-0.7828400000,-0.8551700000,-0.7894800000,-0.9061500000,-0.9188400000,-0.9050000000,-0.9642900000,-1.0033000000,-1.0562000000,-1.0404000000,-1.0549000000,-0.9843200000,-0.9607700000,-0.8866500000,-0.7821100000,-0.6632000000,-0.4320900000,-0.2436800000,-0.0075964000,0.1830000000,0.4218700000,0.6147800000,0.8549600000,1.0478000000,1.2886000000,1.4819000000,1.7152000000,1.9028000000,2.0987000000,2.1585000000,2.1292000000,1.9342000000,1.6970000000,1.5074000000,1.2704000000,1.0752000000,0.8276700000,0.6330100000,0.3870000000,0.1930900000,-0.0508440000,-0.2436800000,-0.4360600000,-0.6760000000,-0.8668900000,-0.9525700000,-1.0252000000,-1.0724000000,-1.1570000000,-1.2035000000,-1.2035000000,-1.3048000000,-1.3008000000,-1.2731000000,-1.2867000000,-1.2626000000,-1.2266000000,-1.2314000000,-1.1988000000,-1.2056000000,-1.1856000000,-1.0574000000,-1.0541000000,-0.9374000000,-0.9065400000,-0.8054000000,-0.7494900000,-0.6388200000,-0.7360400000,-0.6472800000,-0.5643400000,-0.4945300000,-0.3844400000,-0.2939000000,-0.3287500000,-0.2189800000,-0.1224100000,0.0050489000,0.1534100000,0.1409500000,0.3523800000,0.4829400000,0.6461300000,0.6241600000,0.8354100000,0.9776300000,1.1272000000,1.2367000000,1.4538000000,1.6271000000,1.8447000000,2.0243000000,2
1.6817000000,1.6093000000,1.4109000000,1.2630000000,1.0674000000,0.9731800000,0.7986200000,0.6988800000,0.6521100000,0.4948000000,0.3692900000,0.3017300000,0.3684000000,0.2626400000,0.2196400000,0.1282000000,0.0687010000,0.0776800000,-0.0442370000,-0.1000200000,-0.1721900000,-0.2396300000,-0.1531500000,-0.2252300000,-0.2667600000,-0.3529500000,-0.4514800000,-0.4661700000,-0.6382200000,-0.7524900000,-0.7831700000,-0.8771700000,-1.0004000000,-1.1100000000,-1.1261000000,-1.2351000000,-1.2949000000,-1.4067000000,-1.5023000000,-1.5343000000,-1.5009000000,-1.4686000000,-1.3726000000,-1.2864000000,-1.1491000000,-1.0132000000,-0.8343600000,-0.6772100000,-0.5150800000,-0.3126900000,-0.1505500000,0.0523800000,0.2145200000,0.4178500000,0.5810100000,0.7430800000,0.9456800000,1.1078000000,1.3104000000,1.4716000000,1.6736000000,1.8364000000,2.0018000000,2.2030000000,2.1195000000,1.9193000000,1.7605000000,1.6007000000,1.4010000000,1.2423000000,1.0403000000,0.8787800000,0.6734000000,0.5118100000,0.3469100000,0.1417800000,-0.0199420000,-0.2249600000,-0.3867400000,-0.5889000000,-0.7428800000,-0.8795300000,-1.0015000000,-1.1201000000,-1.2256000000,-1.3357000000,-1.4228000000,-1.4744000000,-1.4744000000,-1.4346000000,-1.4089000000,-1.3764000000,-1.3461000000,-1.1855000000,-1.1605000000,-1.0420000000,-0.9487300000,-0.9265900000,-0.7660100000,-0.7225000000,-0.6174000000,-0.5916200000,-0.4841200000,-0.4760000000,-0.4229100000,-0.3366200000,-0.2654100000,-0.1573100000,-0.0722620000,0.0204860000,0.1008700000,0.2077500000,0.1293900000,0.2075200000,0.2589600000,0.3922100000,0.4973900000,0.5592200000,0.5913400000,0.6711300000,0.8137800000,0.8668000000,0.9672400000,1.1180000000,1.1483000000,1.3088000000,1.5121000000,1.6390000000,2
1.9442000000,1.8267000000,1.6127000000,1.4534000000,1.2964000000,1.0890000000,0.9410500000,0.7410600000,0.5970600000,0.4142300000,0.2176000000,0.0114630000,-0.0380370000,0.0765540000,0.0825860000,0.0481480000,0.0233490000,-0.0819190000,-0.1271500000,-0.2235300000,-0.3546300000,-0.4024100000,-0.4690100000,-0.5190100000,-0.5670800000,-0.5872600000,-0.6369000000,-0.6712600000,-0.7402200000,-0.7950300000,-0.7223400000,-0.8019600000,-0.8666000000,-0.9152000000,-1.0513000000,-1.1269000000,-1.2246000000,-1.1997000000,-1.2480000000,-1.2676000000,-1.2528000000,-1.2217000000,-1.1302000000,-1.0770000000,-1.0383000000,-1.0044000000,-0.9219200000,-0.7315100000,-0.5140600000,-0.3088100000,-0.1028800000,0.0519480000,0.2588100000,0.4660900000,0.6831300000,0.8906500000,1.0465000000,1.2545000000,1.4628000000,1.6636000000,1.8726000000,2.0294000000,2.2262000000,2.1545000000,1.9442000000,1.7338000000,1.5282000000,1.3706000000,1.1662000000,0.9566100000,0.7471300000,0.5314200000,0.3742900000,0.1649100000,-0.0442730000,-0.2532400000,-0.4619300000,-0.6182500000,-0.8348400000,-1.0167000000,-1.0781000000,-1.1219000000,-1.1991000000,-1.2687000000,-1.2575000000,-1.2741000000,-1.2670000000,-1.2363000000,-1.2182000000,-1.1830000000,-1.1939000000,-1.1302000000,-1.0334000000,-0.9411300000,-0.9489600000,-0.8869600000,-0.8590100000,-0.8671100000,-0.8098900000,-0.7378000000,-0.5997100000,-0.5520300000,-0.4408000000,-0.4654700000,-0.4011100000,-0.3516400000,-0.2441300000,-0.1271500000,-0.0842850000,-0.0224950000,-0.0287040000,0.0572620000,0.1880600000,0.2530500000,0.3546900000,0.5058200000,0.6375300000,0.6600700000,0.7394600000,0.8471700000,0.9602600000,1.0632000000,1.0593000000,1.2416000000,1.3673000000,1.5070000000,1.7088000000,1.8959000000,2
2.1491000000,2.0456000000,1.8427000000,1.6330000000,1.4948000000,1.2516000000,1.0489000000,0.9326600000,0.7488200000,0.5553200000,0.4639400000,0.3667400000,0.2083900000,0.2246700000,0.1127300000,-0.0432620000,-0.1005600000,-0.0541150000,-0.0704480000,-0.1503000000,-0.2576900000,-0.3889900000,-0.4743900000,-0.5031600000,-0.4443400000,-0.4929100000,-0.5787700000,-0.6710400000,-0.7320000000,-0.8437800000,-0.8773600000,-0.8976700000,-1.0647000000,-1.0006000000,-1.0292000000,-1.1351000000,-1.1792000000,-1.2053000000,-1.2353000000,-1.3078000000,-1.3006000000,-1.2866000000,-1.2752000000,-1.2334000000,-1.1626000000,-1.1138000000,-1.0098000000,-0.9662500000,-0.9061600000,-0.7710400000,-0.5582700000,-0.3453400000,-0.0789790000,0.1397600000,0.4061100000,0.6193000000,0.8379200000,1.1044000000,1.3176000000,1.5310000000,1.7977000000,2.0069000000,2.2168000000,2.3133000000,2.0964000000,1.8298000000,1.6156000000,1.4031000000,1.1355000000,0.9213600000,0.7072700000,0.4396700000,0.2233900000,0.0092544000,-0.2584000000,-0.4725000000,-0.7433400000,-0.8471300000,-0.8836900000,-0.9489700000,-1.0046000000,-1.0939000000,-1.1402000000,-1.1829000000,-1.1589000000,-1.1242000000,-1.0594000000,-1.0076000000,-1.0098000000,-0.9168100000,-0.9006400000,-0.8371100000,-0.8055700000,-0.6650800000,-0.7033900000,-0.6224500000,-0.5290800000,-0.5795400000,-0.4574500000,-0.4219500000,-0.3805100000,-0.3643500000,-0.2974900000,-0.3191700000,-0.2544800000,-0.3191700000,-0.2526900000,-0.1866000000,-0.0954090000,-0.0731760000,-0.0341260000,-0.0954090000,-0.0256840000,0.0888160000,0.1859500000,0.1527300000,0.3004900000,0.3667400000,0.3963000000,0.5553200000,0.7359600000,0.9529900000,1.0317000000,1.2757000000,1.4195000000,1.6253000000,1.8849000000,2.0957000000,2
1.9334000000,1.7945000000,1.6499000000,1.4656000000,1.3477000000,1.1472000000,0.9971600000,0.8909600000,0.7595700000,0.5644600000,0.4563100000,0.3334800000,0.1674100000,0.0286310000,-0.1289400000,-0.1647500000,-0.1643200000,-0.3299400000,-0.4172800000,-0.5349900000,-0.6437500000,-0.4900800000,-0.5471800000,-0.6240600000,-0.6155200000,-0.7094600000,-0.7897400000,-0.7908100000,-0.6687100000,-0.7011500000,-0.7303400000,-0.7413700000,-0.7929600000,-0.8330500000,-0.9546100000,-1.0034000000,-1.0011000000,-1.1019000000,-1.1111000000,-1.0318000000,-1.0817000000,-1.0720000000,-1.0395000000,-0.9644000000,-0.8379700000,-0.7261500000,-0.6301000000,-0.5569800000,-0.4261600000,-0.2783100000,-0.1200500000,0.0926020000,0.2470700000,0.4570200000,0.6158700000,0.8264400000,0.9805900000,1.1913000000,1.3509000000,1.5683000000,1.7798000000,1.9477000000,2.1596000000,2.2870000000,2.2766000000,2.1037000000,1.8809000000,1.7190000000,1.4973000000,1.2849000000,1.1236000000,0.9114000000,0.7503000000,0.5383200000,0.3852200000,0.1732200000,0.0124430000,-0.1992500000,-0.3871000000,-0.5059300000,-0.6610400000,-0.7710200000,-0.9181100000,-1.0064000000,-1.1247000000,-1.1547000000,-1.1166000000,-1.1667000000,-1.1216000000,-1.0768000000,-1.1340000000,-0.9940400000,-1.0241000000,-0.9963800000,-1.0011000000,-0.9408500000,-1.0829000000,-1.1062000000,-1.0034000000,-0.9528900000,-0.8715900000,-0.8911000000,-0.8243300000,-0.7011500000,-0.7865200000,-0.7540400000,-0.6748600000,-0.5155800000,-0.4810000000,-0.3595300000,-0.2482000000,-0.3848000000,-0.3002000000,-0.1711900000,-0.0038246000,0.1206000000,0.1304100000,0.1592700000,0.3541200000,0.4971800000,0.5990400000,0.8059100000,0.9617400000,1.1230000000,1.2808000000,1.4995000000,1.6645000000,1.8757000000,2
1.8607000000,1.7459000000,1.5534000000,1.3947000000,1.2441000000,1.0510000000,0.9556600000,0.8056800000,0.6260300000,0.4888000000,0.4319100000,0.3640100000,0.3062200000,0.2425600000,0.1691300000,0.0486980000,-0.0465240000,-0.1110500000,-0.2197700000,-0.2039100000,-0.3175700000,-0.3929800000,-0.4616700000,-0.5548700000,-0.6276400000,-0.5968600000,-0.5882200000,-0.6173400000,-0.6600700000,-0.6932400000,-0.7999000000,-0.8504500000,-0.8902300000,-0.9930600000,-0.9669000000,-1.0445000000,-1.1273000000,-1.2004000000,-1.1843000000,-1.1871000000,-1.1332000000,-1.0903000000,-1.0170000000,-0.9353400000,-0.8395000000,-0.7051500000,-0.5826900000,-0.4971300000,-0.3602500000,-0.1684900000,-0.0118620000,0.1442900000,0.3425900000,0.5018000000,0.6616400000,0.8629900000,1.0259000000,1.1872000000,1.3914000000,1.5569000000,1.7192000000,1.9212000000,2.0759000000,2.1323000000,2.0358000000,1.8785000000,1.7150000000,1.5063000000,1.3375000000,1.1695000000,0.9627700000,0.7964800000,0.6343900000,0.4299300000,0.2664500000,0.1057100000,-0.0952440000,-0.2547300000,-0.4128000000,-0.5621800000,-0.7061100000,-0.8418900000,-0.9679800000,-1.1465000000,-1.1794000000,-1.2545000000,-1.3373000000,-1.4118000000,-1.4415000000,-1.4050000000,-1.3804000000,-1.3343000000,-1.3938000000,-1.2691000000,-1.2064000000,-1.1687000000,-1.0374000000,-0.9745000000,-0.9296600000,-0.9193800000,-0.8607600000,-0.8986200000,-0.8525000000,-0.7958800000,-0.6734100000,-0.5685900000,-0.4584400000,-0.3929800000,-0.2697600000,-0.3332200000,-0.2111600000,-0.1139100000,0.0082030000,0.1173300000,0.2842100000,0.2641400000,0.3396500000,0.4985600000,0.6260300000,0.7202700000,0.7746000000,0.9231900000,1.0741000000,1.1829000000,1.3403000000,1.4569000000,1.6566000000,1.8192000000,2
2.0925000000,2.0215000000,1.8468000000,1.6205000000,1.3959000000,1.1742000000,1.0767000000,0.8709000000,0.6638800000,0.7601200000,0.5929000000,0.4076800000,0.3740800000,0.2807000000,0.1989900000,0.0253820000,-0.0825130000,-0.0026203000,0.0098052000,-0.0470290000,-0.1737200000,-0.2483100000,-0.3950200000,-0.3954700000,-0.5188300000,-0.5317800000,-0.4290500000,-0.5165200000,-0.5911400000,-0.5972800000,-0.6984800000,-0.6737300000,-0.6868100000,-0.7470600000,-0.6790600000,-0.7634200000,-0.7748700000,-0.9302900000,-0.9036600000,-0.9597900000,-0.9901300000,-0.9938700000,-1.0507000000,-1.0808000000,-1.0836000000,-1.1080000000,-1.1102000000,-1.0370000000,-0.9938700000,-0.9858500000,-0.9597900000,-0.7396600000,-0.5146700000,-0.2926600000,-0.0673820000,0.1579200000,0.3814100000,0.6068400000,0.8322700000,1.0577000000,1.2832000000,1.5101000000,1.7355000000,1.9681000000,2.1443000000,2.3030000000,2.1842000000,1.9587000000,1.7355000000,1.5101000000,1.2847000000,1.0615000000,0.8362500000,0.6085700000,0.3832400000,0.1559900000,-0.0694240000,-0.2961200000,-0.5216000000,-0.7470600000,-0.9682800000,-1.0589000000,-1.0748000000,-1.1259000000,-1.2072000000,-1.2118000000,-1.1934000000,-1.2397000000,-1.2101000000,-1.1524000000,-1.2403000000,-1.1354000000,-1.0589000000,-1.0902000000,-0.9938700000,-1.0414000000,-1.0100000000,-0.8582600000,-0.8582600000,-0.7298100000,-0.6429400000,-0.6520500000,-0.5373400000,-0.5892600000,-0.5550200000,-0.5054600000,-0.4889500000,-0.3630800000,-0.2719200000,-0.2104100000,-0.0940020000,-0.2061700000,-0.0694240000,0.0432810000,0.1683200000,0.1787000000,0.1234400000,0.3269100000,0.4672900000,0.5673500000,0.6776100000,0.8656400000,1.0042000000,1.2025000000,1.4145000000,1.6122000000,1.8290000000,2.0414000000,2
