@relation	SLeaf5train.txt
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	97	real
@attribute	98	real
@attribute	99	real
@attribute	100	real
@attribute	101	real
@attribute	102	real
@attribute	103	real
@attribute	104	real
@attribute	105	real
@attribute	106	real
@attribute	107	real
@attribute	108	real
@attribute	109	real
@attribute	110	real
@attribute	111	real
@attribute	112	real
@attribute	113	real
@attribute	114	real
@attribute	115	real
@attribute	116	real
@attribute	117	real
@attribute	118	real
@attribute	119	real
@attribute	120	real
@attribute	121	real
@attribute	122	real
@attribute	123	real
@attribute	124	real
@attribute	125	real
@attribute	126	real
@attribute	127	real
@attribute	128	real
@attribute	class	{1,2}
@data
1.7499000000,1.6711000000,1.5641000000,1.4358000000,1.3075000000,1.2006000000,1.0748000000,0.9494900000,0.8459000000,0.7183000000,0.6154200000,0.4919500000,0.3692300000,0.2683900000,0.1425500000,0.0170920000,-0.0816270000,-0.2058200000,-0.3228000000,-0.4315800000,-0.5533500000,-0.6657000000,-0.7642300000,-0.8804100000,-0.9750200000,-1.0851000000,-1.1899000000,-1.2718000000,-1.3609000000,-1.4175000000,-1.4639000000,-1.4972000000,-1.5022000000,-1.4631000000,-1.4186000000,-1.3354000000,-1.2862000000,-1.1952000000,-1.0955000000,-1.0076000000,-0.8977200000,-0.8034200000,-0.6877000000,-0.5780300000,-0.4854200000,-0.3702900000,-0.2530500000,-0.1549000000,-0.0393000000,0.0826770000,0.1844600000,0.3049500000,0.4297200000,0.5313300000,0.6554800000,0.7807000000,0.8854100000,1.0117000000,1.1180000000,1.2486000000,1.3783000000,1.4849000000,1.6132000000,1.7414000000,1.8078000000,1.6817000000,1.5541000000,1.4483000000,1.3196000000,1.1910000000,1.0856000000,0.9632600000,0.8615000000,0.7365000000,0.6120600000,0.5059200000,0.3862600000,0.2639300000,0.1635000000,0.0484990000,-0.0759240000,-0.1729000000,-0.2887500000,-0.4100600000,-0.5020500000,-0.6201600000,-0.7263700000,-0.8204000000,-0.9181200000,-1.0052000000,-1.1041000000,-1.1791000000,-1.2280000000,-1.2937000000,-1.3215000000,-1.3453000000,-1.3531000000,-1.3376000000,-1.3079000000,-1.2547000000,-1.2030000000,-1.1345000000,-1.0434000000,-0.9579600000,-0.8939600000,-0.7830400000,-0.6978100000,-0.5895900000,-0.4779700000,-0.3840000000,-0.2737200000,-0.1601200000,-0.0602940000,0.0537430000,0.1712600000,0.2751100000,0.3986800000,0.5234800000,0.6279000000,0.7546800000,0.8607900000,0.9893200000,1.1180000000,1.2257000000,1.3554000000,1.4865000000,1.5948000000,1.7271000000,1
2.0388000000,1.8977000000,1.6667000000,1.4376000000,1.2100000000,0.9914300000,0.8941100000,0.7274300000,0.6305300000,0.5671000000,0.4057700000,0.4519200000,0.3387100000,0.2164600000,0.1258200000,0.0844050000,0.0144310000,-0.1421100000,-0.1512600000,-0.2507200000,-0.3564100000,-0.4923900000,-0.6186600000,-0.7106900000,-0.8622600000,-0.9791800000,-1.0315000000,-1.1580000000,-1.1955000000,-1.2544000000,-1.2965000000,-1.2925000000,-1.2704000000,-1.2880000000,-1.2544000000,-1.1785000000,-1.1420000000,-0.9928200000,-1.0329000000,-0.9510600000,-0.7982300000,-0.7639900000,-0.6488900000,-0.5591800000,-0.4163100000,-0.3577900000,-0.2457700000,-0.0893080000,0.0304650000,0.1635700000,0.2858700000,0.3708900000,0.5414900000,0.6782500000,0.8806000000,1.1455000000,1.4126000000,1.6775000000,1.6483000000,1.4645000000,1.5648000000,1.5614000000,1.5673000000,1.4387000000,1.4053000000,1.4112000000,1.3092000000,1.3329000000,1.2432000000,1.2218000000,1.0966000000,0.9461000000,0.8142700000,0.7177200000,0.6977300000,0.5244000000,0.4125100000,0.1982200000,0.0942010000,-0.0678420000,-0.2276700000,-0.3056700000,-0.3362200000,-0.4325900000,-0.5601800000,-0.6069800000,-0.7341900000,-0.7746600000,-0.8506000000,-0.8852200000,-0.8400600000,-0.8144000000,-1.0172000000,-1.2343000000,-1.2592000000,-1.3999000000,-1.3851000000,-1.4666000000,-1.4470000000,-1.3792000000,-1.3775000000,-1.2922000000,-1.2776000000,-1.1687000000,-1.0230000000,-1.0402000000,-1.0203000000,-0.8647000000,-0.7613900000,-0.7848800000,-0.6201400000,-0.4643900000,-0.3646800000,-0.2329100000,-0.2091500000,-0.0465830000,0.1229900000,0.1991500000,0.3781200000,0.5503600000,0.6990700000,0.8194000000,0.9964700000,1.2209000000,1.4126000000,1.5804000000,1.8098000000,2.0097000000,1
1.8720000000,1.7264000000,1.5736000000,1.3969000000,1.2522000000,1.0838000000,0.9553800000,0.7961200000,0.7182000000,0.5519200000,0.4204800000,0.3833700000,0.2719200000,0.2416200000,0.1638900000,0.0766360000,0.0168980000,-0.0320770000,-0.0263940000,-0.0524240000,-0.1089400000,-0.1785500000,-0.1815600000,-0.2289300000,-0.2532600000,-0.3347500000,-0.3379700000,-0.3951600000,-0.4984700000,-0.5597600000,-0.7034400000,-0.8427100000,-1.0114000000,-1.1357000000,-1.2997000000,-1.4025000000,-1.5298000000,-1.6336000000,-1.7434000000,-1.7576000000,-1.7470000000,-1.6925000000,-1.5724000000,-1.3886000000,-1.2363000000,-1.0526000000,-0.8989400000,-0.7141900000,-0.5597600000,-0.3744400000,-0.1889200000,-0.0338560000,0.1497800000,0.3028600000,0.4885200000,0.6415600000,0.8235100000,0.9766900000,1.1592000000,1.3420000000,1.4954000000,1.6786000000,1.8319000000,2.0151000000,1.9247000000,1.7416000000,1.5866000000,1.4016000000,1.2481000000,1.0642000000,0.8805500000,0.7271900000,0.5431600000,0.3898100000,0.2057900000,0.0519330000,-0.1321100000,-0.2854800000,-0.4695200000,-0.6528600000,-0.8049100000,-0.9867800000,-1.1370000000,-1.3162000000,-1.4629000000,-1.5822000000,-1.6354000000,-1.6336000000,-1.5669000000,-1.5103000000,-1.3733000000,-1.2524000000,-1.1443000000,-1.0038000000,-0.8286700000,-0.7448500000,-0.5615400000,-0.4050700000,-0.2965200000,-0.1757200000,-0.1708400000,-0.0592420000,-0.0067729000,-0.0578050000,0.0121800000,-0.0315440000,-0.0145330000,0.0283950000,0.0351650000,-0.0095923000,0.0866940000,0.0149770000,0.1292500000,0.1258900000,0.2025300000,0.2338800000,0.3411200000,0.4069400000,0.5431600000,0.6607800000,0.7314700000,0.8654400000,0.9783600000,1.1581000000,1.3096000000,1.4946000000,1.6508000000,1.8394000000,1
1.8699000000,1.7387000000,1.5314000000,1.2926000000,1.1132000000,0.9071200000,0.7042100000,0.5084000000,0.3756400000,0.2578500000,0.1108100000,-0.0779440000,-0.0831910000,-0.2449000000,-0.1909200000,-0.3601200000,-0.5458800000,-0.5520500000,-0.7057700000,-0.6941400000,-0.7835300000,-0.8581100000,-0.9402600000,-1.0737000000,-1.0229000000,-1.1374000000,-1.2158000000,-1.2932000000,-1.3703000000,-1.3278000000,-1.2515000000,-1.0435000000,-1.0774000000,-1.1228000000,-1.1218000000,-1.1619000000,-1.0958000000,-1.1060000000,-1.0634000000,-0.9610000000,-0.9142600000,-0.7744800000,-0.6649800000,-0.5530200000,-0.4292000000,-0.3147300000,-0.2125600000,-0.0587270000,0.0430970000,0.1781700000,0.2826800000,0.4120600000,0.5211000000,0.6802000000,0.7440400000,0.9519400000,0.9839100000,1.1544000000,1.2352000000,1.4040000000,1.4531000000,1.5692000000,1.5741000000,1.6490000000,1.6725000000,1.6457000000,1.7948000000,1.9827000000,1.8516000000,1.6174000000,1.3771000000,1.1635000000,0.9215600000,0.7367400000,0.5869100000,0.4583100000,0.3295000000,0.1651700000,0.0284200000,-0.1335400000,-0.2298600000,-0.3951400000,-0.5342800000,-0.7046300000,-0.8023800000,-0.9200700000,-0.9584000000,-1.0878000000,-1.1548000000,-1.2130000000,-1.1764000000,-1.2566000000,-1.2477000000,-1.3036000000,-1.2495000000,-1.2983000000,-1.2983000000,-1.3147000000,-1.1936000000,-1.1421000000,-0.9708700000,-0.9723800000,-0.8221200000,-0.7784800000,-0.6317200000,-0.4273300000,-0.3752200000,-0.2026100000,-0.1293200000,-0.0247870000,-0.0333510000,0.1126500000,0.1442200000,0.2511200000,0.3825600000,0.4021200000,0.5486100000,0.5311500000,0.7071700000,0.7977400000,0.7943100000,0.9352700000,0.9767000000,1.1630000000,1.1897000000,1.4160000000,1.6144000000,1.8431000000,1
2.7427000000,2.4745000000,2.1150000000,1.8095000000,1.5045000000,1.1540000000,0.8559100000,0.6138900000,0.3448300000,0.2554000000,0.0937290000,-0.0520030000,-0.0269060000,-0.0975910000,-0.0707610000,-0.0361380000,-0.1335800000,0.0417450000,-0.0484100000,0.1025600000,0.1185300000,0.0330020000,0.0950180000,0.1785100000,0.1245800000,0.0521450000,0.1987800000,0.1260400000,0.0760250000,0.0942820000,0.1362800000,0.1119300000,0.0669670000,0.0031312000,0.0091185000,-0.0015511000,0.0558540000,0.0370960000,-0.0084883000,-0.0444430000,-0.1119200000,-0.1474300000,-0.1503200000,-0.1829800000,-0.2203400000,-0.3886900000,-0.4945800000,-0.7888200000,-1.0538000000,-1.4356000000,-1.8324000000,-2.2277000000,-2.0159000000,-1.6569000000,-1.3001000000,-0.9423200000,-0.5838600000,-0.2248400000,0.1346400000,0.4944700000,0.8554200000,1.2175000000,1.5804000000,1.9019000000,1.6465000000,1.2804000000,0.9149600000,0.5501500000,0.1884700000,-0.1752300000,-0.5364100000,-0.8973800000,-1.2581000000,-1.6185000000,-1.9781000000,-2.3377000000,-2.6974000000,-2.4955000000,-2.1327000000,-1.7084000000,-1.3428000000,-0.9698700000,-0.8295900000,-0.6266900000,-0.5193800000,-0.3868700000,-0.2650600000,-0.1497400000,-0.0993080000,-0.0800690000,-0.0520030000,-0.0269060000,0.0482470000,0.0499180000,0.0350500000,0.0896770000,0.1256700000,0.2310200000,0.2702200000,0.1976900000,0.0536290000,0.0715900000,0.1134000000,0.0937290000,0.0240580000,0.0536290000,-0.0361380000,0.0787950000,0.0817480000,-0.0450090000,-0.1180400000,-0.1381900000,-0.3117700000,-0.2571900000,-0.1907400000,-0.0263410000,-0.0817810000,-0.0175010000,0.0521450000,0.2425100000,0.4597100000,0.7915600000,1.0845000000,1.3331000000,1.6838000000,1.9867000000,2.3440000000,2.6984000000,1
2.0802000000,1.9587000000,1.7573000000,1.5596000000,1.3623000000,1.1711000000,0.9845800000,0.8505800000,0.7252200000,0.5981800000,0.4135600000,0.3563300000,0.2186600000,0.2023000000,0.0466330000,0.0892400000,-0.0510690000,-0.0427530000,-0.1653400000,-0.1913300000,-0.2295100000,-0.3172100000,-0.3021400000,-0.3282100000,-0.3760000000,-0.3196800000,-0.4185900000,-0.3381500000,-0.4185900000,-0.4371200000,-0.4007500000,-0.5529800000,-0.5679200000,-0.6068300000,-0.6670400000,-0.8295100000,-0.9827700000,-1.1643000000,-1.2764000000,-1.3921000000,-1.5174000000,-1.5636000000,-1.6481000000,-1.6734000000,-1.6310000000,-1.5174000000,-1.3361000000,-1.1328000000,-0.9284100000,-0.7235600000,-0.5204000000,-0.3172100000,-0.1139900000,0.0909340000,0.2940900000,0.4992100000,0.7023100000,0.9054300000,1.1106000000,1.3160000000,1.5245000000,1.7304000000,1.9364000000,2.0925000000,2.0815000000,1.9176000000,1.7147000000,1.5113000000,1.3080000000,1.1041000000,0.9007400000,0.6971800000,0.4938000000,0.2906600000,0.0873040000,-0.1160500000,-0.3194000000,-0.5218700000,-0.7235600000,-0.9242900000,-1.1238000000,-1.3217000000,-1.5137000000,-1.5618000000,-1.6135000000,-1.5316000000,-1.4599000000,-1.3399000000,-1.2063000000,-1.1601000000,-1.0012000000,-0.8351500000,-0.6920100000,-0.5245300000,-0.4972300000,-0.3670500000,-0.3503400000,-0.2380600000,-0.2746700000,-0.2975000000,-0.2185900000,-0.3007800000,-0.2040000000,-0.3007800000,-0.1818500000,-0.3268300000,-0.2252500000,-0.1805400000,-0.2042700000,-0.1637700000,-0.1934400000,-0.0955240000,-0.0430050000,0.0210550000,0.0759070000,0.1085400000,0.2279700000,0.2849500000,0.4697100000,0.5396100000,0.6691400000,0.8478100000,1.0415000000,1.2348000000,1.4356000000,1.6354000000,1.8375000000,2.0400000000,1
2.1267000000,1.8665000000,1.5020000000,1.3299000000,1.6857000000,1.7640000000,1.3636000000,1.2300000000,1.3562000000,0.9635100000,0.5045700000,0.0783370000,0.2536100000,0.5621400000,0.6300600000,0.2002600000,-0.2517500000,-0.6114000000,-0.2252100000,0.1267300000,-0.0629330000,-0.4605400000,-0.9043100000,-1.3319000000,-1.7518000000,-2.0292000000,-1.7716000000,-1.6881000000,-1.2963000000,-0.8841300000,-0.4848900000,-0.0958160000,-0.0933590000,-0.3629600000,-0.6735900000,-0.9498300000,-1.1509000000,-1.4132000000,-1.1045000000,-0.9438300000,-0.9103900000,-0.7060500000,-0.3940700000,-0.0230350000,0.2625700000,0.1355600000,-0.0694300000,-0.2495900000,-0.3797800000,-0.5622900000,-0.1710400000,-0.1578800000,0.0413740000,0.3746300000,0.7886700000,0.9119300000,0.7417600000,0.5553300000,0.2909000000,0.4294500000,0.8268700000,1.2280000000,1.6328000000,1.6860000000,1.2597000000,0.8551600000,0.4538300000,0.5452300000,0.7706600000,0.9605300000,0.9758400000,0.5790200000,0.1766100000,-0.1020200000,-0.1446500000,-0.2464700000,-0.5972100000,-0.3046500000,-0.1353400000,0.0631620000,0.2730300000,0.4014600000,0.3172100000,-0.0912970000,-0.4556500000,-0.7402800000,-0.9812300000,-0.9336800000,-1.0238000000,-1.4192000000,-1.2725000000,-1.1273000000,-0.9008800000,-0.6222500000,-0.3420100000,-0.1128700000,-0.4455300000,-0.8405000000,-1.2380000000,-1.6362000000,-1.9913000000,-1.8706000000,-2.0534000000,-1.8809000000,-1.4731000000,-1.0577000000,-0.6527600000,-0.2854300000,0.0928090000,-0.0745830000,-0.3811100000,-0.4151700000,0.0055033000,0.4426800000,0.6598400000,0.4226900000,0.6113700000,1.0196000000,1.1517000000,0.9019600000,1.2211000000,1.5848000000,1.4595000000,1.1577000000,0.9575100000,1.3705000000,1.7590000000,2.1157000000,1
2.1650000000,1.9594000000,1.7066000000,1.3976000000,1.0637000000,0.7985800000,0.5629000000,0.4570200000,0.2379600000,0.2436700000,0.0952880000,-0.0479570000,-0.2645600000,-0.2190900000,-0.3863800000,-0.6427300000,-0.6689200000,-0.6584300000,-0.8159800000,-0.8677000000,-0.7871500000,-0.8492500000,-0.9480600000,-1.0904000000,-0.9482700000,-0.9623600000,-0.9917200000,-1.0979000000,-1.2072000000,-1.0582000000,-1.1151000000,-1.0996000000,-1.1585000000,-1.3668000000,-1.1683000000,-1.0861000000,-0.9054400000,-0.9233100000,-0.7999400000,-0.7474000000,-0.7099600000,-0.5479100000,-0.4949100000,-0.3717200000,-0.3086300000,-0.1780600000,-0.0843330000,0.0257520000,0.0909360000,0.2613900000,0.3546200000,0.4891000000,0.6139900000,0.7557500000,0.7957600000,0.9692800000,1.0808000000,1.2269000000,1.3864000000,1.3694000000,1.4605000000,1.5130000000,1.6720000000,1.7159000000,1.7232000000,1.7030000000,1.6486000000,1.5641000000,1.4020000000,1.4256000000,1.7159000000,1.5468000000,1.2642000000,0.9427000000,0.6661600000,0.3463100000,0.0527970000,-0.1443600000,-0.2226400000,-0.3638600000,-0.4139800000,-0.5429900000,-0.6767100000,-0.7484000000,-0.8792900000,-0.9408300000,-1.0582000000,-1.1288000000,-1.2341000000,-1.2563000000,-1.3870000000,-1.4028000000,-1.3361000000,-1.3595000000,-1.3485000000,-1.1934000000,-1.1501000000,-1.0403000000,-0.9563400000,-0.8950100000,-0.8632300000,-0.8081600000,-0.6933100000,-0.6568800000,-0.5112600000,-0.4672200000,-0.3874800000,-0.4271000000,-0.2627700000,-0.1124300000,-0.0853710000,-0.0096105000,-0.0405740000,0.1231500000,0.0593690000,0.1291400000,0.3294900000,0.3641900000,0.5071700000,0.4928400000,0.6071100000,0.6800700000,0.8087900000,1.0450000000,1.3451000000,1.6251000000,1.8651000000,2.1313000000,1
1.9334000000,1.8081000000,1.6103000000,1.4148000000,1.2384000000,1.0368000000,0.8358700000,0.6702300000,0.5080600000,0.3720900000,0.2242900000,0.1266400000,0.0431530000,-0.0622240000,-0.1187500000,-0.1550900000,-0.2407800000,-0.3082800000,-0.3186600000,-0.4429600000,-0.4640400000,-0.5555400000,-0.6885900000,-0.7303100000,-0.7865000000,-0.8885800000,-0.8947700000,-1.0054000000,-1.0473000000,-1.0962000000,-1.1751000000,-1.1228000000,-1.1715000000,-1.1577000000,-1.1769000000,-1.1542000000,-1.1152000000,-1.1235000000,-1.0116000000,-0.9861100000,-0.8874700000,-0.8125600000,-0.7397800000,-0.6392700000,-0.5126500000,-0.4311600000,-0.3410700000,-0.1976000000,-0.0771550000,0.0433620000,0.1937300000,0.3522400000,0.5179800000,0.6901400000,0.8680100000,1.0473000000,1.2325000000,1.4070000000,1.6029000000,1.7475000000,1.8461000000,1.9069000000,1.9295000000,1.8678000000,1.8119000000,1.6940000000,1.6099000000,1.5257000000,1.4308000000,1.2939000000,1.1443000000,1.0651000000,0.9216300000,0.7796600000,0.6722600000,0.5099900000,0.4625400000,0.3260100000,0.2242900000,0.1225500000,-0.0041534000,-0.0904140000,-0.2498200000,-0.3332500000,-0.4045100000,-0.5402700000,-0.5967500000,-0.6734400000,-0.8459500000,-0.8817500000,-0.9463300000,-1.0987000000,-1.0713000000,-1.1641000000,-1.1949000000,-1.1903000000,-1.2663000000,-1.2760000000,-1.2236000000,-1.2795000000,-1.2178000000,-1.1921000000,-1.1518000000,-1.0832000000,-1.0963000000,-0.9821000000,-0.9827700000,-0.9223000000,-0.7865000000,-0.7858700000,-0.6310400000,-0.5586800000,-0.4036500000,-0.4571300000,-0.2739800000,-0.2480900000,-0.1293200000,-0.0118490000,0.1862200000,0.3669600000,0.5067600000,0.7171800000,0.9046400000,1.1140000000,1.2973000000,1.5036000000,1.7072000000,1.9096000000,1
2.1981000000,2.0228000000,1.7989000000,1.6041000000,1.3775000000,1.1879000000,1.0335000000,0.8509200000,0.7354700000,0.5950200000,0.4608800000,0.3336600000,0.2072100000,0.0115630000,-0.0958820000,-0.2226600000,-0.3660400000,-0.3986900000,-0.4597200000,-0.5677100000,-0.7024600000,-0.7738700000,-0.8967900000,-0.9371400000,-1.0046000000,-1.1057000000,-1.1931000000,-1.1557000000,-1.1848000000,-1.2548000000,-1.2420000000,-1.2196000000,-1.2713000000,-1.2751000000,-1.1695000000,-1.1395000000,-1.0112000000,-0.9830400000,-0.8819500000,-0.8526400000,-0.8074500000,-0.6437000000,-0.6231000000,-0.5608000000,-0.3717700000,-0.2873800000,-0.2101300000,-0.0432530000,0.0136100000,0.1756600000,0.2809000000,0.4413900000,0.5559400000,0.7301800000,0.8377000000,0.9746700000,1.0346000000,0.8416800000,0.8045400000,0.7090500000,0.9185300000,1.1184000000,1.3200000000,1.3195000000,1.3562000000,1.3442000000,1.3103000000,1.3160000000,1.5328000000,1.6655000000,1.5264000000,1.3157000000,1.0825000000,0.8564700000,0.6413500000,0.4725400000,0.2780800000,0.1580500000,0.0191430000,-0.0776020000,-0.2408900000,-0.3536700000,-0.4807200000,-0.6076300000,-0.7024600000,-0.8172000000,-0.9180000000,-1.0486000000,-1.0721000000,-1.1484000000,-1.1544000000,-1.2787000000,-1.2457000000,-1.4199000000,-1.3815000000,-1.3225000000,-1.3366000000,-1.3020000000,-1.1891000000,-1.2485000000,-1.1366000000,-1.0984000000,-0.9441300000,-0.8256000000,-0.8187300000,-0.7043700000,-0.5615000000,-0.6042000000,-0.4604100000,-0.3733700000,-0.3637700000,-0.2349700000,-0.1226000000,-0.0037617000,0.1053400000,0.1660500000,0.3189400000,0.4672600000,0.5953400000,0.7011700000,0.8805000000,0.9897400000,1.1489000000,1.3360000000,1.5376000000,1.7604000000,1.9632000000,2.1719000000,1
