@relation	face1test.txt
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	97	real
@attribute	98	real
@attribute	99	real
@attribute	100	real
@attribute	101	real
@attribute	102	real
@attribute	103	real
@attribute	104	real
@attribute	105	real
@attribute	106	real
@attribute	107	real
@attribute	108	real
@attribute	109	real
@attribute	110	real
@attribute	111	real
@attribute	112	real
@attribute	113	real
@attribute	114	real
@attribute	115	real
@attribute	116	real
@attribute	117	real
@attribute	118	real
@attribute	119	real
@attribute	120	real
@attribute	121	real
@attribute	122	real
@attribute	123	real
@attribute	124	real
@attribute	125	real
@attribute	126	real
@attribute	127	real
@attribute	128	real
@attribute	129	real
@attribute	130	real
@attribute	131	real
@attribute	class	{1,2}
@data
-1.2312000000,-1.6000000000,-1.9687000000,-2.2969000000,-2.6109000000,-2.4232000000,-1.6979000000,-0.9701400000,-0.2341100000,0.5019300000,1.3061000000,2.1127000000,2.2487000000,2.1068000000,1.6635000000,0.8492700000,0.1759900000,0.1050000000,0.0340050000,0.2263100000,0.4381100000,0.3721200000,0.1707900000,-0.1648500000,-0.6907900000,-1.0701000000,-0.6509700000,-0.2318600000,0.3821500000,1.0187000000,1.3342000000,1.4677000000,1.2858000000,0.5881200000,-0.1486600000,-1.1700000000,-2.1914000000,-2.1465000000,-1.9310000000,-1.3367000000,-0.4934100000,0.0934030000,0.1929400000,0.2204500000,-0.5155900000,-1.2516000000,-1.4714000000,-1.5837000000,-1.3282000000,-0.7940000000,-0.3938500000,-0.2915200000,-0.1563100000,0.5818400000,1.3200000000,1.9679000000,2.5923000000,2.4276000000,1.5757000000,0.8873000000,0.6284100000,0.3782000000,0.6233000000,0.8683900000,0.3157900000,-0.4906300000,-0.7901900000,-0.5828800000,-0.3755700000,-0.1682600000,0.0390480000,-0.2642800000,-0.5765700000,-0.5867000000,-0.4817200000,-0.4256100000,-0.4256100000,-0.3594900000,-0.0399160000,0.2796600000,0.4996900000,0.7142800000,0.3388100000,-0.3021800000,-0.7133400000,-0.8211100000,-0.8182000000,-0.2840300000,0.2501400000,0.9540200000,1.6739000000,1.6719000000,1.2899000000,0.7275800000,-0.1090300000,-0.7590900000,-0.2432700000,0.2725600000,0.6461000000,1.0001000000,0.9460900000,0.6427100000,0.4975400000,0.6311300000,0.7303700000,0.5318400000,0.3333000000,0.2090900000,0.0985250000,-0.1955500000,-0.6191500000,-0.8002200000,-0.4834400000,-0.1740800000,0.0350780000,0.2442300000,-0.0535800000,-0.4700400000,-0.4859000000,-0.1762600000,0.0118530000,-0.0931270000,-0.1910700000,-0.0920770000,0.0069195000,0.0940100000,0.1776600000,0.1176400000,-0.0764820000,-0.0764820000,-0.0764820000,2
-1.1802000000,-1.4934000000,-1.5759000000,-1.3615000000,-0.6030400000,-0.3255400000,-0.1542200000,0.0061604000,-0.1651600000,0.2893000000,1.1297000000,2.0667000000,1.8011000000,0.9618500000,-0.2380600000,-0.4093800000,-0.0073630000,0.4911700000,0.5042700000,0.1993500000,0.0221160000,0.0049925000,-0.1738500000,-0.6990000000,-1.0075000000,-0.5011900000,0.4720300000,0.9813400000,1.0331000000,1.1418000000,0.1958900000,-0.9722800000,-1.8307000000,-1.0961000000,-0.6288800000,-0.4783200000,-0.4767400000,-0.2023900000,0.2885100000,1.0040000000,0.9767300000,0.7400100000,0.2513800000,-0.7220400000,-2.2899000000,-2.9376000000,-1.9970000000,-0.1200100000,0.0501100000,-0.5387000000,-0.0827880000,1.8204000000,2.5920000000,1.5294000000,0.7459200000,0.8452400000,1.0776000000,0.3052900000,0.2888700000,0.8141700000,1.6764000000,0.7890200000,-0.6580200000,-1.6298000000,-0.7713700000,0.4760500000,0.7242100000,-0.0435200000,-0.5619100000,-0.3413200000,-0.0977240000,-0.4403600000,-0.3073200000,-0.4064100000,-0.6968500000,-0.6968500000,0.9715900000,2.1194000000,1.2473000000,-1.2215000000,-2.2722000000,-1.8591000000,0.0739570000,1.1901000000,1.4524000000,0.7173000000,-0.4274700000,0.0467660000,1.3812000000,1.7628000000,0.1156000000,-1.2945000000,-1.6323000000,0.7940000000,1.3213000000,0.5888200000,-0.5799800000,0.1333600000,0.5527500000,0.1705300000,-0.1261300000,-0.0048101000,0.2472700000,0.2648100000,0.8873100000,0.9995800000,0.3562500000,-1.4010000000,-1.9432000000,-1.3660000000,0.5717300000,1.2411000000,0.7792400000,-0.4720600000,-0.4720600000,-0.2155400000,0.0210980000,0.0180090000,0.0136580000,-0.0813220000,-0.1532100000,0.3431100000,0.3351400000,0.0506380000,-0.4336100000,0.0065371000,0.5121800000,0.7209700000,-0.5322700000,-1.4477000000,-1.4477000000,2
-2.4086000000,-2.0319000000,-1.6552000000,-1.1735000000,-0.6472100000,-0.0435270000,0.6745400000,1.3419000000,1.5781000000,1.8144000000,1.3186000000,0.6478900000,0.2866600000,0.2243000000,0.2136900000,0.3971700000,0.5806400000,0.1504200000,-0.3388200000,-0.7242000000,-1.0443000000,-1.0831000000,-0.5126100000,0.0603610000,0.7714700000,1.4826000000,1.3107000000,0.7941700000,0.1916000000,-0.5293100000,-1.1845000000,-1.3701000000,-1.5557000000,-1.0627000000,-0.4254100000,0.0686400000,0.4337500000,0.6325000000,0.2682000000,-0.0960970000,-0.8671200000,-1.6688000000,-1.9139000000,-1.8342000000,-1.5944000000,-1.0342000000,-0.4745900000,0.0696690000,0.6139300000,1.2404000000,1.8961000000,2.1871000000,2.0110000000,1.8231000000,1.5625000000,1.3018000000,0.9183200000,0.5117700000,0.0499450000,-0.4582400000,-0.8225500000,-0.7449200000,-0.6673000000,-0.3912000000,-0.1040800000,0.0615220000,0.1614300000,0.1123400000,-0.2124000000,-0.5285900000,-0.6907900000,-0.8529900000,-0.3230200000,0.4323000000,0.7341600000,0.4953300000,0.1796600000,-0.5459100000,-1.2715000000,-1.2791000000,-1.1695000000,-0.6415900000,0.2132300000,0.9640100000,1.4235000000,1.8830000000,2.2069000000,2.5259000000,2.0815000000,1.2554000000,0.3240500000,-0.7877900000,-1.7762000000,-1.1286000000,-0.4809700000,0.1666300000,0.8142300000,0.8813700000,0.3035700000,-0.1270500000,0.1340500000,0.3951500000,0.5986200000,0.7940300000,0.5182900000,-0.1000800000,-0.4673500000,-0.1911200000,0.0851030000,0.0899490000,0.0899490000,-0.0990470000,-0.3752700000,-0.4738100000,-0.2896600000,-0.1458900000,-0.4221200000,-0.6983400000,-0.6838000000,-0.5917300000,-0.2773600000,0.2672500000,0.7005900000,0.6686500000,0.6367000000,0.1843100000,-0.3175500000,-0.7768900000,-1.2075000000,-1.2075000000,-1.2075000000,2
-1.4459000000,-1.5681000000,-1.6685000000,-1.4143000000,-0.5439100000,-0.0986660000,0.1354800000,0.1685800000,0.0365090000,0.1711400000,0.8078100000,1.4953000000,1.8674000000,0.8972600000,-0.3221800000,-0.8038300000,-0.2243100000,0.6786700000,0.5834000000,0.1974100000,-0.1203300000,0.1795400000,-0.3809300000,-1.1207000000,-1.5122000000,-0.3325800000,0.9763600000,1.4370000000,1.1812000000,1.0678000000,0.3422600000,-0.8268200000,-1.8547000000,-1.5606000000,-0.8506800000,-0.3764500000,0.0360970000,0.7762600000,0.6778700000,0.6119800000,0.5084500000,0.2124800000,-0.4885300000,-1.4867000000,-2.2774000000,-2.3331000000,-0.6680700000,0.8764000000,2.0835000000,2.7197000000,1.5332000000,-0.3528500000,-1.5472000000,-1.0781000000,1.6865000000,2.3133000000,1.7207000000,0.4635100000,-0.7034700000,-0.3017300000,0.2627000000,0.3596200000,-0.3696900000,0.1377000000,0.3550500000,-0.0505390000,-0.4702000000,-0.0663050000,0.2140400000,0.1690700000,-0.1269000000,-0.9135500000,-1.0612000000,-0.4358200000,0.8156200000,0.4554800000,0.3148300000,0.5384000000,0.9664200000,-0.2276200000,-0.6599500000,-0.5162900000,-0.3709100000,-1.1911000000,-0.9485100000,0.0622640000,1.3751000000,2.5489000000,1.1890000000,-0.6322000000,-0.8806700000,0.5230900000,-0.0969880000,-0.5411900000,0.7260100000,0.9066100000,1.1624000000,1.1418000000,0.5699200000,-1.1639000000,-0.2707300000,0.9170100000,1.3406000000,1.3406000000,0.9424200000,0.0836110000,-1.0536000000,-1.4083000000,-0.4224900000,0.0793830000,-0.2411400000,-0.6801100000,-0.5008200000,-0.4423900000,-0.5324100000,-0.3831300000,-0.1003500000,0.2773800000,0.6372100000,0.7355600000,-0.2574700000,-0.7219900000,-0.5420000000,0.1820000000,0.4747900000,0.8081500000,0.8310700000,0.0018068000,-1.6079000000,-1.8687000000,-1.8687000000,2
-1.7814000000,-2.0883000000,-2.3952000000,-1.9715000000,-1.2929000000,-0.6582000000,-0.0704320000,0.5152900000,1.0939000000,1.6726000000,1.5054000000,1.3115000000,0.9608800000,0.5452500000,0.3787900000,0.5190200000,0.6067300000,0.4700700000,0.3334100000,-0.3367900000,-1.0465000000,-1.0925000000,-0.8151800000,-0.2453000000,0.7389900000,1.5660000000,1.5369000000,1.5078000000,0.6231800000,-0.3601800000,-1.1552000000,-1.8433000000,-2.0855000000,-1.5982000000,-1.0744000000,-0.2849800000,0.5044300000,0.4461200000,0.2521800000,-0.4057900000,-1.3687000000,-1.9077000000,-1.6415000000,-1.3357000000,-0.6105200000,0.1146400000,0.3240100000,0.4259300000,0.7235600000,1.1694000000,1.5955000000,1.9776000000,2.3192000000,1.9195000000,1.5198000000,1.2093000000,0.9220200000,0.5359200000,0.0637440000,-0.3215400000,-0.4787500000,-0.6292100000,-0.3955800000,-0.1619500000,-0.1022600000,-0.0979120000,-0.1765100000,-0.3380600000,-0.4411200000,-0.3603400000,-0.2795700000,0.2538100000,0.7951400000,0.7652900000,0.5178500000,0.0219290000,-0.7592800000,-1.3170000000,-1.0180000000,-0.7190500000,0.1171400000,0.9826200000,1.3879000000,1.5860000000,1.5352000000,1.1558000000,0.7563300000,0.2604500000,-0.2354300000,-0.4758000000,-0.6920800000,-0.0146570000,1.1331000000,1.8095000000,1.7686000000,1.6105000000,0.7198900000,-0.1706900000,-0.1940000000,-0.0982660000,-0.0619530000,-0.0619530000,-0.0248710000,0.0775470000,0.1800700000,0.2835100000,0.3869400000,-0.1065900000,-0.7097600000,-0.9578100000,-0.9552000000,-0.7575700000,-0.1596200000,0.3764700000,0.0774990000,-0.2214800000,-0.4415800000,-0.6432300000,-0.4559800000,0.0472570000,0.4007300000,0.3930300000,0.3754600000,0.0815770000,-0.2123100000,-0.5005100000,-0.7870700000,-1.1360000000,-1.5431000000,-1.5431000000,-1.5431000000,2
-1.4716000000,-1.4323000000,-1.0357000000,-0.6562200000,-0.3849100000,-0.2272900000,0.1337800000,0.9196800000,1.7204000000,2.1889000000,1.6669000000,0.4241900000,-0.6747500000,-0.8913900000,0.0842300000,1.1308000000,0.8753100000,-0.1315000000,-1.0888000000,-0.6175700000,0.4305600000,0.2574600000,-0.5000900000,-1.4886000000,-1.0009000000,0.4111400000,1.5923000000,1.8872000000,0.9581600000,-0.4012300000,-1.5105000000,-1.5701000000,-0.9337400000,-0.4816800000,-0.2523000000,-0.1063200000,0.3779300000,0.7722600000,0.5763600000,-0.0670370000,-0.7993800000,-1.3724000000,-1.8099000000,-1.8427000000,-1.7864000000,-0.7284600000,0.3152100000,1.9068000000,2.5306000000,1.9556000000,0.2696000000,-0.8673600000,-0.5760300000,0.6145500000,1.7159000000,1.6722000000,0.7265600000,0.0839180000,-0.2556900000,-0.1775700000,0.1667000000,-0.0158860000,0.2950500000,0.2059600000,-0.2277700000,-0.3388400000,-0.6686600000,-0.0549530000,0.3363000000,0.1216800000,-0.5266800000,-0.7566100000,-0.3510000000,0.4118700000,0.4657500000,-0.1027100000,0.0386020000,-0.1999800000,0.1801700000,-0.3148400000,-0.6378800000,-0.8734900000,-1.3259000000,-0.8725800000,-0.2700100000,1.5213000000,2.5982000000,2.4364000000,0.4927700000,-1.4242000000,-1.0044000000,1.0154000000,1.9613000000,0.4676400000,-1.7905000000,-2.0276000000,-0.9102800000,0.5137200000,0.6143700000,0.7742600000,0.8771400000,1.0774000000,0.1718100000,0.3308700000,0.4745700000,0.8745400000,1.0052000000,0.7157000000,0.7076200000,-0.3572600000,-1.0842000000,-1.3360000000,-0.4433100000,0.1671200000,-0.0494820000,-0.5332700000,-0.6531400000,-0.7909000000,-0.5828700000,-0.6243700000,-0.0338040000,0.3290800000,0.2688600000,-0.0948110000,-0.6231900000,-0.3139100000,0.3439400000,0.9255500000,0.5799600000,-0.5730300000,-1.7367000000,2
-2.2019000000,-2.2891000000,-2.3764000000,-1.8553000000,-1.1221000000,-0.6562900000,-0.4770300000,-0.1679100000,0.5907300000,1.3494000000,1.6473000000,1.9287000000,1.4981000000,0.7722600000,0.3014900000,0.1446500000,0.0667240000,0.3259600000,0.5852000000,0.1345400000,-0.3687000000,-0.7037700000,-0.9569100000,-0.9300500000,-0.5065200000,-0.0526330000,0.5665600000,1.1858000000,1.2377000000,1.2242000000,0.8798700000,0.3478100000,-0.3230100000,-1.2209000000,-1.9860000000,-1.7843000000,-1.5825000000,-0.8550600000,-0.0435430000,0.3318800000,0.4207300000,0.2289700000,-0.4959500000,-1.1988000000,-1.6672000000,-2.1356000000,-1.5281000000,-0.6964300000,-0.0593230000,0.4303900000,0.7564400000,0.7188200000,0.7173000000,1.3778000000,2.0383000000,1.9926000000,1.7627000000,1.4117000000,0.9551100000,0.5281600000,0.1789300000,-0.1718900000,-0.6136000000,-1.0553000000,-0.8851700000,-0.5203600000,-0.0703510000,0.4648500000,0.7828100000,0.4179900000,0.0531820000,-0.2056700000,-0.4626600000,-0.2783200000,0.0741420000,0.5102100000,1.0423000000,1.3176000000,0.6084800000,-0.1006000000,-0.9724000000,-1.8531000000,-1.8266000000,-1.3918000000,-0.8759300000,-0.2530000000,0.3859600000,1.1019000000,1.8178000000,1.8147000000,1.7438000000,1.0154000000,-0.0591450000,-0.7499100000,-0.8567400000,-0.8597100000,-0.2135900000,0.4325400000,0.9049700000,1.3536000000,1.4717000000,1.3879000000,1.0337000000,0.2027800000,-0.4952200000,-0.0415740000,0.4120700000,0.4040900000,0.3113200000,-0.1484000000,-0.8671500000,-1.1740000000,-0.6352900000,-0.1213300000,0.0587240000,0.2387800000,0.0537600000,-0.2167100000,-0.4368500000,-0.6161100000,-0.7435200000,-0.7458800000,-0.7295800000,-0.1908900000,0.3478000000,0.4550900000,0.4377600000,0.2934400000,0.0305960000,0.0305960000,0.0305960000,2
-2.6989000000,-1.8870000000,-1.0751000000,-0.6263900000,-0.3320800000,0.1285500000,0.8350400000,1.4759000000,1.5589000000,1.6419000000,1.1689000000,0.5629600000,0.2701900000,0.2798100000,0.3136700000,0.4384600000,0.5632400000,-0.0351990000,-0.7031800000,-0.9020300000,-0.8059900000,-0.4559000000,0.4446200000,1.3314000000,1.4472000000,1.5631000000,1.0454000000,0.2804300000,-0.5290400000,-1.3997000000,-2.1606000000,-2.1368000000,-2.1130000000,-1.1854000000,-0.0654820000,0.5751600000,0.7844300000,0.7026800000,-0.3640800000,-1.4308000000,-2.0896000000,-2.7176000000,-2.3195000000,-1.3227000000,-0.3576800000,0.5437900000,1.4021000000,1.0730000000,0.7439100000,1.1478000000,1.8135000000,2.0809000000,1.8386000000,1.5634000000,1.0873000000,0.6112700000,0.2514600000,-0.0865540000,-0.3451200000,-0.5370500000,-0.6008900000,-0.2713000000,0.0582900000,0.1790000000,0.2881000000,0.1255600000,-0.1838100000,-0.4418800000,-0.6050700000,-0.7281200000,-0.1287400000,0.4706400000,0.5016000000,0.3474900000,0.0030486000,-0.5683400000,-1.0331000000,-0.9292100000,-0.8253200000,-0.4088600000,0.0586380000,0.5415800000,1.0366000000,1.3420000000,1.1167000000,0.8913200000,0.5810900000,0.2677700000,0.0545380000,-0.1086500000,-0.0974820000,0.2125800000,0.5201200000,0.7943900000,1.0687000000,1.1377000000,1.1461000000,1.0955000000,0.9792600000,0.8382500000,0.5808100000,0.3233800000,0.0336010000,-0.2607100000,-0.3846300000,-0.3846300000,-0.4122400000,-0.5106200000,-0.6090000000,-0.7057100000,-0.8023900000,-0.7656100000,-0.6672300000,-0.6058800000,-0.6034400000,-0.5675700000,-0.1840300000,0.1995000000,0.6653500000,1.1531000000,1.2065000000,0.8098600000,0.3987600000,-0.0728750000,-0.5445100000,-0.6834000000,-0.7831500000,-1.0606000000,-1.4583000000,-1.4583000000,-1.4583000000,2
-1.3443000000,-1.7545000000,-2.1648000000,-2.1901000000,-2.0178000000,-1.7088000000,-1.1111000000,-0.5133500000,0.5035900000,1.5282000000,2.0199000000,2.2156000000,2.0972000000,1.2579000000,0.4186100000,0.3288900000,0.2669300000,0.2555900000,0.2746300000,0.2244700000,0.0013507000,-0.2217700000,-0.6680700000,-1.1270000000,-1.0985000000,-0.7545000000,-0.3486800000,0.2262300000,0.8011500000,1.1225000000,1.4244000000,1.0945000000,0.3242500000,-0.4702700000,-1.3376000000,-2.2050000000,-1.7999000000,-1.2700000000,-0.7790100000,-0.3170800000,0.0894100000,0.3125300000,0.5356600000,-0.1529700000,-0.9510200000,-1.4961000000,-1.8372000000,-1.9096000000,-0.9965500000,-0.0835410000,0.8085900000,1.6977000000,1.9372000000,1.6137000000,1.3253000000,1.1803000000,1.0352000000,1.1448000000,1.2967000000,1.0010000000,0.2883600000,-0.2413300000,0.0703840000,0.3821000000,0.4593900000,0.4918000000,0.4059600000,0.2018700000,0.0310680000,0.0340730000,0.0370770000,0.1328900000,0.2488800000,-0.0256140000,-0.7195300000,-1.2813000000,-1.0504000000,-0.8193900000,-0.4943900000,-0.1464200000,0.0381290000,0.0341060000,0.0299810000,0.0251430000,0.0203050000,-0.5965400000,-1.3803000000,-1.2760000000,-0.0705740000,1.0452000000,1.4137000000,1.7822000000,0.9661300000,-0.2080600000,-0.7572900000,-0.4732600000,-0.1539300000,0.5254800000,1.2049000000,1.3417000000,1.2978000000,1.2326000000,1.1370000000,1.0092000000,0.4622100000,-0.0848170000,0.1691600000,0.7161800000,0.9881000000,0.8348600000,0.6575400000,0.0548420000,-0.5478600000,-0.6536800000,-0.5607600000,-0.5777400000,-0.7779100000,-0.9755500000,-1.1051000000,-1.2346000000,-1.1230000000,-0.9062900000,-0.5312700000,0.1287400000,0.7709300000,0.4328300000,0.0947340000,-0.0262990000,-0.0445130000,-0.0445130000,-0.0445130000,2
-2.1708000000,-1.9582000000,-1.2799000000,-0.4294800000,0.2353700000,0.5822200000,1.1492000000,1.7557000000,1.9969000000,1.5130000000,0.5251100000,-0.5500100000,-0.5500100000,0.2752600000,0.5699600000,0.0775030000,-0.9569200000,-0.6994900000,-0.2477100000,-0.0241500000,-0.2986400000,-0.0510700000,0.3405200000,0.6549300000,0.5197000000,0.4866900000,0.4951000000,0.4951000000,-0.3295700000,-1.0393000000,-1.2592000000,-0.4438200000,-0.2446800000,-0.1793100000,0.0120220000,0.8189400000,1.0729000000,0.7142400000,-0.0507470000,-0.5414700000,-1.5587000000,-1.8687000000,-1.2697000000,-0.3733600000,-0.4767500000,-0.1551400000,1.0684000000,2.1101000000,2.1136000000,1.4354000000,0.2789100000,-0.5426100000,0.0142950000,0.8317700000,0.8634000000,-0.0797160000,-0.4296600000,-0.3117400000,0.0801650000,1.0458000000,1.2068000000,0.5324700000,-0.8700900000,-0.7560900000,-0.2725500000,0.2725000000,0.4472500000,-0.1883100000,-0.6086200000,-0.4849800000,0.4487300000,0.3054300000,-0.1671000000,-0.5747500000,0.0857790000,0.3901100000,0.4903700000,0.4541900000,-0.6944200000,-1.5863000000,-1.7920000000,-0.8059900000,2.1565000000,2.4722000000,0.9135100000,-1.2005000000,0.5776800000,1.1684000000,0.1674900000,-2.3450000000,-1.3110000000,0.3810600000,1.5759000000,-0.2662300000,1.0727000000,2.0530000000,1.5884000000,-0.3856500000,-0.4727500000,-0.3117400000,-0.5122900000,1.1160000000,1.8239000000,1.2378000000,-0.9632000000,-1.6500000000,-0.5096100000,0.9185400000,0.8853500000,-0.1591800000,-0.9948600000,-1.4977000000,-1.5098000000,-0.3187400000,0.7205800000,1.2354000000,0.5734200000,-0.2133000000,-0.6165300000,-0.5465300000,-0.0558060000,0.2911000000,0.3131100000,0.0190140000,0.0124050000,-0.6473300000,-1.3925000000,-1.8844000000,-1.2512000000,-0.9257200000,-0.9257200000,2
