@relation	wafer_TRAIN
@attribute	1	real
@attribute	2	real
@attribute	3	real
@attribute	4	real
@attribute	5	real
@attribute	6	real
@attribute	7	real
@attribute	8	real
@attribute	9	real
@attribute	10	real
@attribute	11	real
@attribute	12	real
@attribute	13	real
@attribute	14	real
@attribute	15	real
@attribute	16	real
@attribute	17	real
@attribute	18	real
@attribute	19	real
@attribute	20	real
@attribute	21	real
@attribute	22	real
@attribute	23	real
@attribute	24	real
@attribute	25	real
@attribute	26	real
@attribute	27	real
@attribute	28	real
@attribute	29	real
@attribute	30	real
@attribute	31	real
@attribute	32	real
@attribute	33	real
@attribute	34	real
@attribute	35	real
@attribute	36	real
@attribute	37	real
@attribute	38	real
@attribute	39	real
@attribute	40	real
@attribute	41	real
@attribute	42	real
@attribute	43	real
@attribute	44	real
@attribute	45	real
@attribute	46	real
@attribute	47	real
@attribute	48	real
@attribute	49	real
@attribute	50	real
@attribute	51	real
@attribute	52	real
@attribute	53	real
@attribute	54	real
@attribute	55	real
@attribute	56	real
@attribute	57	real
@attribute	58	real
@attribute	59	real
@attribute	60	real
@attribute	61	real
@attribute	62	real
@attribute	63	real
@attribute	64	real
@attribute	65	real
@attribute	66	real
@attribute	67	real
@attribute	68	real
@attribute	69	real
@attribute	70	real
@attribute	71	real
@attribute	72	real
@attribute	73	real
@attribute	74	real
@attribute	75	real
@attribute	76	real
@attribute	77	real
@attribute	78	real
@attribute	79	real
@attribute	80	real
@attribute	81	real
@attribute	82	real
@attribute	83	real
@attribute	84	real
@attribute	85	real
@attribute	86	real
@attribute	87	real
@attribute	88	real
@attribute	89	real
@attribute	90	real
@attribute	91	real
@attribute	92	real
@attribute	93	real
@attribute	94	real
@attribute	95	real
@attribute	96	real
@attribute	97	real
@attribute	98	real
@attribute	99	real
@attribute	100	real
@attribute	101	real
@attribute	102	real
@attribute	103	real
@attribute	104	real
@attribute	105	real
@attribute	106	real
@attribute	107	real
@attribute	108	real
@attribute	109	real
@attribute	110	real
@attribute	111	real
@attribute	112	real
@attribute	113	real
@attribute	114	real
@attribute	115	real
@attribute	116	real
@attribute	117	real
@attribute	118	real
@attribute	119	real
@attribute	120	real
@attribute	121	real
@attribute	122	real
@attribute	123	real
@attribute	124	real
@attribute	125	real
@attribute	126	real
@attribute	127	real
@attribute	128	real
@attribute	129	real
@attribute	130	real
@attribute	131	real
@attribute	132	real
@attribute	133	real
@attribute	134	real
@attribute	135	real
@attribute	136	real
@attribute	137	real
@attribute	138	real
@attribute	139	real
@attribute	140	real
@attribute	141	real
@attribute	142	real
@attribute	143	real
@attribute	144	real
@attribute	145	real
@attribute	146	real
@attribute	147	real
@attribute	148	real
@attribute	149	real
@attribute	150	real
@attribute	151	real
@attribute	152	real
@attribute	class	{1,2}
@data
1.0000000000,-1.6023000000,-1.6708000000,-1.6937000000,-1.6994000000,-1.6994000000,-1.7037000000,-1.7037000000,-1.7037000000,-1.7037000000,-1.7037000000,-0.7342600000,-0.9769600000,0.4621500000,0.9461400000,1.4444000000,1.5272000000,1.6229000000,1.6685000000,1.7042000000,1.7185000000,1.7185000000,1.7870000000,1.7414000000,1.7271000000,1.7185000000,1.7185000000,1.7185000000,1.7142000000,1.7185000000,1.7142000000,1.7228000000,1.7228000000,1.7228000000,1.7185000000,1.6000000000,-1.3467000000,-1.5894000000,-1.6394000000,-1.6665000000,-1.6765000000,-1.6851000000,-1.6894000000,-1.6937000000,-1.6937000000,-0.8256300000,-0.5657900000,-0.0175550000,0.2023100000,0.2251500000,0.2608500000,0.2794100000,0.2794100000,0.2708400000,0.2651300000,0.2708400000,0.2708400000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2794100000,0.2836900000,0.2836900000,0.2836900000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2794100000,0.2751200000,0.2751200000,0.2794100000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2794100000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2794100000,0.2794100000,0.2836900000,0.2879700000,0.2936800000,0.2794100000,0.2836900000,0.2836900000,0.2836900000,0.2836900000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2751200000,0.2794100000,0.2794100000,0.2751200000,0.2794100000,0.2751200000,0.2794100000,0.2751200000,0.2751200000,-1.0141000000,-1.1326000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,-1.1454000000,1
1.0846000000,1.0846000000,1.0846000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0846000000,1.0846000000,1.0846000000,1.0846000000,1.0846000000,1.0846000000,1.0653000000,1.0846000000,1.0846000000,-0.5931100000,-0.2074300000,0.1011100000,0.1975300000,0.2553800000,0.2939500000,0.3325200000,0.3518000000,0.3710900000,0.3903700000,0.3903700000,0.4096600000,0.4096600000,1.0653000000,1.0846000000,1.0653000000,1.0846000000,1.0653000000,1.0846000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0460000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,-0.2074300000,-0.9016500000,-0.9209300000,-0.9209300000,-0.9402200000,-0.9402200000,-0.9595000000,-0.9595000000,-0.9787800000,-0.9787800000,-0.9980700000,-0.9980700000,-0.9980700000,-1.0174000000,-1.0174000000,-1.0174000000,-1.0366000000,-1.0366000000,-1.0366000000,-1.0366000000,-1.0366000000,-1.0366000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0752000000,-1.0559000000,-1.0559000000,-1.0752000000,-1.0752000000,-1.0752000000,-1.0752000000,-1.0752000000,-1.0752000000,-1.0752000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0559000000,-1.0366000000,-1.0174000000,-0.9980700000,-0.9787800000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9787800000,-0.9787800000,-0.9787800000,-0.9787800000,-0.9595000000,-0.9787800000,-0.9595000000,-0.9595000000,-0.9595000000,-0.9787800000,0.9496000000,1.0460000000,1.0653000000,1.0846000000,1.0846000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1.0653000000,1
0.3626900000,0.3626900000,0.3626900000,0.3933200000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3933200000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.8527200000,-0.4029900000,-0.4029900000,-0.4029900000,-0.4029900000,-0.4336100000,-0.4336100000,-0.4029900000,-0.4029900000,-0.4029900000,-0.3723600000,-0.4029900000,-0.4029900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3626900000,0.3014300000,0.3320600000,0.3933200000,0.3933200000,10.8980000000,3.3948000000,-0.4029900000,-0.4029900000,-0.3417300000,-0.2804800000,-0.2804800000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3723600000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3723600000,-0.3417300000,-0.3417300000,-0.3723600000,-0.3723600000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3111100000,-0.3417300000,-0.3417300000,-0.3417300000,-0.4029900000,-0.3723600000,-0.3723600000,-0.3723600000,-0.3417300000,-0.4029900000,-0.4029900000,-0.4029900000,-0.3723600000,-0.3723600000,-0.3723600000,-0.3417300000,-0.3723600000,-0.4029900000,-0.3723600000,-0.3723600000,-0.4029900000,-0.4029900000,-0.4029900000,-0.4029900000,-0.4029900000,-0.3723600000,-0.4029900000,-0.3723600000,-0.4029900000,-0.4029900000,-0.4029900000,-0.4029900000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,0.3626900000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,0.3933200000,1
-1.0945000000,-1.0945000000,-1.0945000000,-1.0967000000,-1.0945000000,-1.0967000000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,0.7075100000,1.0785000000,0.9923900000,0.7671300000,0.6081300000,0.4535400000,0.3607900000,0.2879200000,0.2084100000,0.1576200000,0.1068300000,0.0781210000,0.0516210000,-0.9377300000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0945000000,-1.0967000000,-1.0945000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,0.3320800000,0.8245500000,0.8863800000,0.9327600000,0.9570500000,0.9680900000,0.9813400000,0.9901800000,0.9990100000,0.9990100000,1.0012000000,0.9945900000,0.9879700000,0.9813400000,0.9725100000,0.9680900000,0.9680900000,0.9658900000,0.9636800000,0.9592600000,0.9526400000,0.9592600000,0.9614700000,0.9548400000,0.9438000000,0.9460100000,0.9393900000,0.9415900000,0.9460100000,0.9438000000,0.9415900000,0.9349700000,0.9305500000,0.9283400000,0.9283400000,0.9217200000,0.9261400000,0.9283400000,0.9305500000,0.9305500000,0.9327600000,0.9371800000,0.9371800000,0.9371800000,0.9371800000,0.9371800000,0.9393900000,0.9460100000,0.9460100000,0.9570500000,0.9857600000,1.0189000000,1.0608000000,1.0498000000,1.0498000000,1.0388000000,1.0299000000,1.0299000000,1.0321000000,1.0299000000,1.0255000000,1.0211000000,1.0167000000,1.0145000000,1.0101000000,1.0034000000,1.0012000000,1.0012000000,0.9945900000,0.9901800000,0.9857600000,-0.7963900000,-1.0945000000,-1.0945000000,-1.0967000000,-1.0945000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,-1.0967000000,1
-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1059000000,-1.1059000000,-1.1038000000,-1.1059000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1059000000,0.7754100000,1.0057000000,0.7409700000,0.5128000000,0.3040000000,0.1834600000,0.0779870000,0.0155630000,-0.0339450000,-0.0834540000,-0.1157400000,-0.1501800000,-0.1717100000,-0.9767600000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1059000000,-1.1059000000,-1.1038000000,-1.1059000000,-1.1038000000,-0.2319800000,0.4008700000,0.8442900000,0.8981100000,0.9260900000,0.9497700000,0.9626800000,0.9777500000,0.9949700000,1.0014000000,1.0122000000,1.0079000000,1.0036000000,0.9992800000,0.9971200000,0.9971200000,0.9906700000,0.9906700000,0.9863600000,0.9799000000,0.9777500000,0.9756000000,0.9734500000,0.9691400000,0.9669900000,0.9626800000,0.9605300000,0.9605300000,0.9605300000,0.9583800000,0.9562300000,0.9583800000,0.9605300000,0.9583800000,0.9540700000,0.9540700000,0.9519200000,0.9519200000,0.9519200000,0.9519200000,0.9519200000,0.9519200000,0.9540700000,0.9562300000,0.9562300000,0.9583800000,0.9605300000,0.9691400000,0.9712900000,0.9669900000,0.9734500000,0.9777500000,1.0036000000,1.0423000000,1.0639000000,1.0531000000,1.0445000000,1.0316000000,1.0251000000,1.0187000000,1.0100000000,0.9992800000,0.9971200000,0.9949700000,0.9971200000,0.9906700000,0.9863600000,0.9928200000,0.9906700000,0.9885100000,0.9863600000,0.9863600000,0.9863600000,-1.0693000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,-1.1038000000,1
0.4250200000,0.4250200000,0.4562200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,2.0471000000,-0.5108100000,-0.5420000000,-0.5108100000,-0.5420000000,-0.5420000000,-0.5108100000,-0.4484200000,-0.4796100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,0.4562200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.3314400000,0.3938300000,0.4562200000,0.4562200000,10.2200000000,3.2949000000,-0.3548300000,-0.4796100000,-0.4796100000,-0.4172200000,-0.3860300000,-0.4172200000,-0.4484200000,-0.4796100000,-0.4484200000,-0.4796100000,-0.4796100000,-0.4484200000,-0.5108100000,-0.4796100000,-0.4796100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4484200000,-0.4796100000,-0.4484200000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4484200000,-0.4796100000,-0.4796100000,-0.4484200000,-0.4796100000,-0.4796100000,-0.4796100000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4484200000,-0.4796100000,-0.4796100000,-0.5108100000,-0.4484200000,-0.4796100000,-0.5108100000,-0.4796100000,-0.4796100000,-0.4796100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5420000000,-0.5108100000,-0.5108100000,-0.5108100000,-0.5420000000,-0.5108100000,-0.5420000000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,0.4250200000,1
1.0593000000,1.0593000000,1.0593000000,1.0593000000,1.0779000000,1.0593000000,1.0593000000,1.0407000000,1.0593000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0593000000,1.0593000000,1.0593000000,-0.1854100000,0.0746770000,0.3347600000,0.4462300000,0.4833800000,0.5205400000,0.5391200000,0.5576900000,0.5576900000,0.5762700000,0.5762700000,0.5948500000,0.5948500000,1.0779000000,1.0593000000,1.0593000000,1.0593000000,1.0593000000,1.0593000000,1.0779000000,1.0593000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0593000000,1.0779000000,1.0593000000,1.0779000000,1.0779000000,-0.1111000000,-0.7984700000,-0.8356200000,-0.9470900000,-0.9656700000,-0.9656700000,-0.9842400000,-0.9842400000,-1.0028000000,-0.9842400000,-0.9842400000,-0.9842400000,-0.9842400000,-0.9842400000,-0.9842400000,-1.0028000000,-1.0028000000,-1.0028000000,-1.0214000000,-1.0214000000,-1.0214000000,-1.0214000000,-1.0214000000,-1.0400000000,-1.0400000000,-1.0400000000,-1.0400000000,-1.0400000000,-1.0400000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0771000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0586000000,-1.0771000000,-1.0586000000,-1.0586000000,-1.0771000000,-1.0400000000,-1.0214000000,-0.9842400000,-0.9470900000,-0.9470900000,-0.9470900000,-0.9285100000,-0.9470900000,-0.9285100000,-0.9470900000,-0.9470900000,-0.9470900000,-0.9470900000,-0.9470900000,-0.9285100000,-0.9285100000,-0.9285100000,-0.9285100000,-0.9470900000,-0.9470900000,-0.9285100000,-0.9285100000,1.0779000000,1.0593000000,1.0593000000,1.0593000000,1.0593000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1.0779000000,1
1.1329000000,1.1329000000,1.1329000000,1.1527000000,1.1527000000,1.1527000000,1.1329000000,1.1329000000,1.1527000000,1.1329000000,1.1329000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,-0.3136600000,0.2808000000,0.5185900000,0.6572900000,0.6969300000,0.7167400000,0.7365600000,0.7563700000,0.7563700000,0.7761900000,0.7761900000,0.7960000000,0.7960000000,1.1923000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1527000000,1.1329000000,1.1329000000,1.1527000000,1.1329000000,-0.1749500000,-0.8288500000,-0.8288500000,-0.8883000000,-0.8883000000,-0.9081200000,-0.9081200000,-0.9081200000,-0.9279300000,-0.9477500000,-0.9477500000,-0.9477500000,-0.9477500000,-0.9477500000,-0.9675600000,-0.9675600000,-0.9675600000,-0.9675600000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-1.0072000000,-1.0072000000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-0.9873800000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-1.0072000000,-0.9873800000,-0.9675600000,-0.9081200000,-0.8883000000,-0.8486700000,-0.8288500000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.8090400000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,-0.7892200000,1.1130000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1527000000,1.1527000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1.1329000000,1
-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,1.6982000000,-1.2023000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2513000000,-1.2513000000,-0.4487100000,0.3178500000,0.5397500000,0.5411900000,0.5469500000,0.5512800000,0.5584800000,0.5671300000,0.5714500000,0.5786500000,0.5858600000,0.5887400000,0.5945000000,0.6002700000,0.6017100000,0.6060300000,0.6117900000,0.6146700000,0.6190000000,0.6161200000,0.6175600000,0.6218800000,0.6233200000,0.6247600000,0.6276400000,0.6290800000,0.6305200000,0.6348500000,0.6377300000,0.6406100000,0.6420500000,0.6434900000,0.6463700000,0.6478200000,0.6507000000,0.6507000000,0.6507000000,0.6564600000,0.6579000000,0.6564600000,0.6535800000,0.6550200000,0.6564600000,0.6579000000,0.6622200000,0.6636700000,0.6636700000,0.6622200000,0.6622200000,0.6651100000,0.6636700000,0.6651100000,0.6622200000,0.6579000000,0.6579000000,0.6607800000,0.6593400000,0.6507000000,0.6348500000,0.5887400000,0.5498300000,0.5210200000,0.5008400000,0.4777900000,0.4489700000,0.4259200000,0.4158300000,0.4129500000,0.4129500000,0.4129500000,0.4129500000,0.4115100000,0.4129500000,0.4129500000,0.4100700000,0.4115100000,0.4129500000,0.4129500000,0.4129500000,0.4143900000,0.4143900000,0.4143900000,0.4129500000,0.4129500000,-1.2455000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,-1.2498000000,1
-1.4187000000,-1.6777000000,-1.5815000000,-0.9610400000,-0.4284700000,0.9677600000,1.4725000000,1.7336000000,1.7175000000,1.8252000000,1.8518000000,1.9340000000,1.9455000000,1.9638000000,1.9523000000,1.9405000000,1.9558000000,1.9347000000,1.9644000000,1.9320000000,1.9894000000,1.8889000000,2.0675000000,0.9245100000,-1.5261000000,-1.4947000000,-1.6026000000,-1.5704000000,-1.6095000000,-1.5978000000,-0.9965400000,-0.3306700000,0.1229900000,0.2361800000,0.2867500000,0.3240500000,0.3899600000,0.4407400000,0.4463500000,0.4456900000,0.4438800000,0.4486700000,0.4501000000,0.4535700000,0.4503100000,0.4474700000,0.4480500000,0.4476200000,0.4478500000,0.4475600000,0.4482000000,0.4470200000,0.4511400000,0.4483800000,0.4480000000,0.4448700000,0.4466800000,0.4482500000,0.4474200000,0.4479400000,0.4478100000,0.4475700000,0.4480000000,0.4433400000,0.4448600000,0.4483100000,0.4440600000,0.4427000000,0.4458400000,0.4481700000,0.4478100000,0.4473900000,0.4484400000,0.4504200000,0.4500600000,0.4493400000,0.4517500000,0.4508200000,0.4493700000,0.4534200000,0.4514300000,0.4529900000,0.4484200000,0.4484800000,0.4526200000,0.4518900000,0.4526300000,0.4519100000,0.4524900000,0.4516300000,0.4489500000,0.4526600000,0.4519200000,0.4526900000,0.4504000000,0.4489700000,0.4461200000,0.4574000000,0.4392300000,0.4715600000,0.4239000000,0.4974000000,0.3796200000,0.5937800000,-0.2279100000,-1.1538000000,-0.9576800000,-1.0735000000,-1.0014000000,-1.0478000000,-1.0184000000,-1.0362000000,-1.0261000000,-1.0313000000,-1.0290000000,-1.0292000000,-1.0293000000,-1.0289000000,-1.0290000000,-1.0295000000,-1.0290000000,-1.0290000000,-1.0294000000,-1.0291000000,-1.0289000000,-1.0292000000,-1.0293000000,-1.0289000000,-1.0291000000,-1.0295000000,-1.0290000000,-1.0290000000,-1.0294000000,-1.0291000000,-1.0289000000,-1.0292000000,-1.0292000000,-1.0289000000,-1.0291000000,-1.0294000000,-1.0290000000,-1.0290000000,-1.0295000000,-1.0299000000,-1.0284000000,-1.0315000000,-1.0263000000,-1.0345000000,-1.0215000000,-1.0421000000,-1.0090000000,-1.0679000000,2
